Station,Rank,Station Entries,Station Exits,"Prioritised for investment, by band.",Station proritised as a geographical filler.,Current Accessibility,,,,,
,,,Station Exits,,,Step-free access,PA,CIS,Station staffing,Overall accessibility,
Ormskirk,375,"370,245","355,770",1,,Full,จน,,Full,Part,
Plumstead,376,"370,157","364,600",1,,No,จน,,Part,Part,
Winchmore Hill,377,"370,063","361,892",,,No,จน,,Part,Part,
Hayes Kent,378,"369,895","370,070",,,Part,จน,จน,Part,Part,
Wellingborough,379,"369,845","376,617",,,Part,จน,จน,Full,Part,
South Croydon,380,"368,766","376,927",,,No,จน,จน,Part,Part,
Telford Central,381,"367,660","373,609",,,Full,จน,จน,Full,Full,
Exmouth,382,"365,267","370,407",,,Full,จน,จน,Part,Part,
Albany Park,383,"363,100","362,038",,,No,จน,จน,Part,Part,
Polegate,384,"361,937","362,072",,,No,จน,จน,Part,Part,
Hyndland,385,"357,098","357,513",2,จน,No,จน,จน,Full,Part,
Weston-super-Mare,386,"356,797","360,030",,,Full,จน,จน,Full,Full,
St Neots,387,"355,419","360,574",,,No,จน,จน,Part,Part,
Thorpe Bay,388,"355,138","347,820",,,Part,จน,จน,Part,Part,
Barnham,389,"354,293","355,348",,,Part,จน,จน,Full,Part,
Ware,390,"354,202","346,031",,,Full,จน,จน,Part,Part,
Selhurst,391,"353,916","373,364",,,No,จน,จน,Part,Part,
East Dulwich,392,"353,475","342,797",,,No,จน,จน,Part,Part,
Pontypridd,393,"352,901","344,242",,,Full,จน,จน,Part,Part,
Esher,394,"350,051","348,946",,,No,จน,จน,Part,Part,
Waltham Cross,395,"349,109","345,608",1,,Part,จน,,Part,Part,
West Dulwich,396,"346,325","339,834",1,,No,จน,,Part,Part,
Falconwood,397,"346,267","345,155",,,No,จน,จน,Part,Part,
Enfield Chase,398,"345,737","321,351",,,No,จน,จน,Part,Part,
Strood,399,"344,951","348,321",,,Part,จน,จน,Full,Part,
Macclesfield,400,"344,743","339,412",1,,Full,จน,,Full,Part,
Herne Bay,401,"342,408","344,759",,,Part,จน,จน,Part,Part,
West Drayton,402,"342,100","345,748",,,No,จน,จน,Full,Part,
Trefforest,403,"341,321","334,286",,,Full,,,Part,Part,
Reigate,404,"340,768","345,412",,,No,จน,จน,Part,Part,
Halifax,405,"340,398","346,158",1,จน,Part,จน,จน,Part,Part,
Rochford,406,"340,065","347,396",,,Part,จน,จน,Part,Part,
Lancing,407,"339,137","339,938",,,No,จน,จน,Part,Part,
Acton Central,408,"338,547","362,315",1,,No,จน,,Full,Part,
Stoneleigh,409,"338,488","331,828",,,No,จน,จน,Part,Part,
Clacton,410,"337,540","336,851",,,Full,จน,จน,Part,Part,
West Wickham,411,"337,355","335,018",,,Part,จน,จน,Part,Part,
Scarborough,412,"336,986","329,802",,,Full,จน,,Part,Part,
Shipley,413,"336,863","333,171",,,Full,จน,จน,Part,Part,
Kidderminster,414,"335,038","344,000",1,จน,Part,จน,จน,Part,Part,
Elmers End,415,"334,751","331,349",,,Part,จน,จน,Part,Part,
Bletchley,416,"334,640","334,403",,,Full,จน,จน,Full,Full,
New Barnet,417,"333,091","325,008",,,No,จน,,Part,Part,
Ladywell,418,"331,485","326,717",1,,Part,,,None,None,
Skipton,419,"329,716","318,429",1,,Full,จน,,Part,Part,
High Brooms,420,"327,950","327,178",,,Insufficient info provided by station operator,จน,จน,None,Part,
Carshalton Beeches,421,"327,905","316,985",,,No,จน,จน,Part,Part,
West Ealing,422,"327,453","319,155",,,No,จน,จน,Full,Part,
Ewell West,423,"324,562","328,014",,,Part,จน,จน,Part,Part,
Caerphilly,424,"323,837","328,777",1,,Full,,จน,Part,Part,
Ilkley,425,"322,923","306,243",,,Full,จน,จน,Part,Part,
Whitstable,426,"322,901","327,433",,,No,จน,จน,Full,Part,
Truro,427,"322,417","316,310",3,จน,No,จน,จน,Full,Part,
Sanderstead,428,"321,936","312,694",,,No,จน,จน,Part,Part,
Southend East,429,"319,039","312,253",,,No,จน,จน,Part,Part,
Newton Abbot,430,"318,791","318,110",,,Full,จน,จน,Full,Full,
Hampton,431,"318,649","306,414",,,Part,จน,จน,Part,Part,
Rochester,432,"317,892","324,525",,,Full,จน,จน,Part,Part,
Stonebridge Park,433,"317,703","287,152",,,No,จน,จน,Part,Part,
Cheam,434,"316,662","310,628",,,No,จน,จน,Part,Part,
Gordon Hill,435,"314,871","306,854",,,No,จน,,Part,Part,
Portsmouth Harbour,436,"313,892","255,968",,,Full,จน,จน,Part,Part,
Brookwood,437,"313,361","315,211",,,Part,จน,จน,Part,Part,
New Beckenham,438,"313,267","317,785",,,Part,จน,จน,Part,Part,
Gospel Oak,439,"312,806","314,944",,,No,จน,จน,Full,Part,
Irvine,440,"312,485","330,782",,,Part,จน,จน,Part,Part,
Bickley,441,"310,616","307,796",1,,No,จน,,Part,Part,
Barnsley,442,"310,521","302,717",1,,Full,จน,,Part,Part,
Lenzie,443,"310,370","326,927",,,Part,จน,จน,Part,Part,
Cosham,444,"310,148","303,717",,,Part,จน,จน,Part,Part,
Woodham Ferrers,445,"309,459","310,709",,,Part,จน,จน,Part,Part,
Chelsfield,446,"309,284","305,315",,,Part,จน,จน,Part,Part,
Littlehampton,447,"307,004","307,191",,,Full,จน,จน,Full,Full,
Enfield Lock,448,"306,577","310,826",,,Full,จน,จน,Part,Part,
Maze Hill,449,"305,965","312,503",,,Part,จน,จน,Part,Part,
Hereford,450,"302,658","299,561",3,จน,Part,จน,จน,Part,Part,
Alexandra Palace,451,"300,847","291,510",,,No,จน,จน,Part,Part,
Motspur Park,452,"300,379","291,649",,,No,จน,จน,Part,Part,
Stoke Newington,453,"299,961","306,618",,,No,จน,จน,Part,Part,
Weymouth,454,"298,889","288,942",,,Full,จน,จน,Full,Full,
Bicester North,455,"297,520","298,806",,,Full,จน,จน,Part,Part,
Kings Lynn,456,"296,655","297,020",,,Full,จน,จน,Full,Full,
Bathgate,457,"296,562","302,539",,,Full,จน,,None,Part,
West Hampstead,458,"296,521","356,285",,,No,จน,จน,Full,Part,
East Kilbride,459,"290,440","289,480",,,Full,จน,จน,Full,Full,
Biggleswade,460,"287,762","294,556",,,No,จน,,Part,Part,
Bush Hill Park,461,"287,693","270,894",,,Full,จน,จน,Part,Part,
Selly Oak,462,"286,857","295,669",,,Full,จน,จน,Full,Full,
Oakleigh Park,463,"286,559","284,668",1,,No,จน,,Part,Part,
Manningtree,464,"286,285","288,348",,,Part,จน,จน,Full,Part,
Tamworth,465,"286,211","299,640",,,Full,จน,จน,Full,Full,
Portslade,466,"285,188","280,863",,,No,จน,จน,Part,Part,
Strawberry Hill,467,"284,365","272,789",,,Full,จน,จน,Part,Part,
Caterham,468,"284,352","284,001",,,Part,จน,จน,Part,Part,
West Malling,469,"283,751","286,823",,,Part,จน,จน,Part,Part,
Cricklewood,470,"283,735","267,563",,,Part,จน,จน,Part,Part,
Henley On Thames,471,"283,106","283,160",,,Full,จน,จน,Part,Part,
Margate,472,"282,683","280,773",,,Full,จน,จน,Part,Part,
Westcombe Park,473,"282,258","269,653",1,,Part,,จน,Part,Part,
Hackbridge,474,"281,243","281,288",,,Insufficient info provided by station operator,จน,จน,Insufficient info provided by station operator,Part,
Dewsbury,475,"281,168","284,354",,,Full,จน,จน,Part,Part,
Conway Park,476,"280,610","221,819",,,Full,จน,จน,Full,Full,
St James St Wlthmstw,477,"277,579","301,055",,,No,จน,จน,Part,Part,
Ingatestone,478,"276,374","277,861",,,Part,จน,จน,Part,Part,
Kent House,479,"275,471","268,607",,,No,จน,จน,Part,Part,
London Waterloo East,480,"274,820","164,806",,,Part,จน,จน,Full,Part,
Nuneaton,481,"272,144","276,504",,,Full,จน,จน,Full,Full,
Newark Castle,482,"271,940","293,638",,,Full,จน,จน,None,Part,
Beverley,483,"271,626","277,529",1,จน,Part,จน,จน,Part,Part,
Perth,484,"271,389","279,504",,,Full,จน,จน,Full,Full,
Moorfields,485,"271,144","68,389",2,จน,Part,จน,จน,Full,Part,
Lichfield City,486,"270,242","258,792",,,Full,จน,จน,Full,Full,
Tilbury Town,487,"270,122","257,644",,,Full,จน,จน,Part,Part,
Ashford Middx,488,"269,950","264,979",,,Part,จน,จน,Part,Part,
Headcorn,489,"269,718","270,724",,,Part,จน,จน,Part,Part,
Dumbarton Central,490,"267,851","283,568",,,Full,จน,จน,Full,Full,
Walsall,491,"266,133","266,152",3,จน,Part,จน,จน,Full,Part,
North Dulwich,492,"265,442","255,297",,,No,จน,จน,Part,Part,
Cuffley,493,"265,413","263,038",1,,No,จน,,Part,Part,
Chorley,494,"262,961","266,159",,,Full,จน,จน,Full,Full,
Livingston North,495,"262,916","279,839",,,Full,จน,,None,Part,
Harlesden,496,"262,193","239,809",,,No,จน,จน,Part,Part,
Wilmslow,497,"261,896","259,949",,,Full,จน,จน,Full,Full,
Farncombe,498,"260,628","256,424",,,Part,จน,จน,Part,Part,
Hendon,499,"260,446","265,859",,,Part,จน,จน,Part,Part,
Greenhithe,500,"260,361","265,688",1,,No,,,Part,None,
Stalybridge,501,"259,790","263,492",,,Full,จน,,Full,Part,
Anniesland,502,"259,502","266,214",,,Part,จน,จน,Full,Part,
Upper Warlingham,503,"258,627","257,982",,,No,จน,จน,Part,Part,
Bangor,504,"258,367","254,614",2,จน,Full,จน,,Part,Part,
Queens Road Peckham,505,"257,657","239,175",,,No,จน,จน,Part,Part,
Redditch,506,"257,447","245,661",,,Full,จน,จน,Full,Full,
Manchester Victoria,507,"256,910","138,119",,,Full,จน,จน,Full,Full,
Market Harborough,508,"256,565","262,464",,,Part,จน,จน,Full,Part,
Mount Florida,509,"255,310","281,726",,,Part,จน,จน,Part,Part,
Sheerness-on-Sea,510,"255,163","247,111",,,No,จน,จน,Part,Part,
Rochdale,511,"253,531","259,525",,,Full,จน,จน,Full,Full,
Salford Crescent,512,"253,463","235,161",3,จน,No,จน,จน,Full,Part,
Croy,513,"253,018","262,690",,,Full,จน,จน,Part,Part,
Blairhill,514,"252,578","255,960",,,No,จน,จน,Full,Part,
Solihull,515,"250,660","254,285",,,Full,จน,จน,Full,Full,
Seaford,516,"248,631","244,616",,,Part,จน,จน,Part,Part,
Watford High Street,517,"247,757","252,565",2,,No,จน,,Part,Part,
Shettleston,518,"246,934","248,520",,,No,จน,จน,Part,Part,
Singer,519,"246,862","236,538",,,Full,จน,,Full,Part,
Milngavie,520,"245,718","249,091",,,Full,จน,จน,Full,Full,
St Leonards Warr Sq,521,"245,169","234,603",,,Part,จน,จน,Part,Part,
Stratford upon Avon,522,"245,007","234,336",,,Full,จน,จน,Full,Full,
Hampden Park Sussex,523,"244,341","246,056",,,Full,จน,จน,Part,Part,
Langley,524,"242,933","250,109",,,Part,จน,จน,Full,Part,
Sunningdale,525,"242,356","241,956",,,Full,จน,จน,Part,Part,
Bushey,526,"241,434","253,021",2,,No,จน,,Part,Part,
Manchester Oxford Road,527,"240,276","158,277",,,Part,จน,จน,Full,Part,
Martins Heron,528,"240,066","239,133",,,Part,จน,จน,Part,Part,
Bromley North,529,"238,552","242,698",2,,Part,จน,,Part,Part,
Hampstead Heath,530,"238,459","248,645",,,No,จน,จน,Full,Part,
Barrow In Furness,531,"237,586","232,037",2,จน,Full,จน,,Full,Part,
Neath,532,"237,480","239,820",2,จน,No,จน,จน,Full,Part,
Bingley,533,"235,005","244,366",2,,No,จน,,None,Part,
Balloch,534,"233,736","229,614",,,Full,จน,จน,Full,Full,
Hamilton Central,535,"233,543","248,482",,,Full,จน,จน,Full,Full,
Barry,536,"233,350","230,908",2,,No,,,Part,None,
New Milton,537,"233,028","236,256",,,Part,จน,จน,Part,Part,
Battle,538,"232,913","233,368",,,Part,จน,จน,Part,Part,
Merstham,539,"232,779","234,756",,,No,จน,จน,Part,Part,
Durrington-on-Sea,540,"232,495","230,066",,,No,จน,จน,Part,Part,
Erith,541,"231,602","225,679",,,Part,จน,จน,Part,Part,
Bradford Forster Sq,542,"231,142","96,540",,,Full,จน,จน,Part,Part,
Belvedere,543,"230,876","227,140",,,Part,จน,จน,Part,Part,
Guiseley,544,"230,753","222,369",,,Full,จน,จน,None,Part,
Dunfermline Town,545,"229,894","238,280",1,จน,Part,จน,จน,Part,Part,
Bellingham,546,"229,608","222,418",,,No,จน,จน,Part,Part,
Warrington Central,547,"229,455","181,618",,,No,จน,,Full,Part,
Rhyl,548,"229,357","231,222",,,Full,จน,จน,Part,Part,
Sunderland,549,"228,864","235,575",,,Full,จน,จน,Full,Full,
Trowbridge,550,"228,783","232,925",,,Full,จน,จน,Part,Part,
Westerton,551,"228,298","232,937",,,Full,จน,จน,Full,Full,
Dalmuir,552,"227,357","231,322",,,Part,จน,,Full,Part,
Skegness,554,"226,725","224,254",,,Full,จน,จน,Full,Full,
Hersham,555,"225,577","222,213",,,No,จน,จน,Part,Part,
Shoeburyness,556,"224,244","227,692",2,,Full,จน,,Part,Part,
Troon,557,"223,603","243,914",,,Full,จน,จน,Part,Part,
Sutton Coldfield,558,"222,819","231,413",1,จน,Part,จน,จน,Full,Part,
Loughborough Jn,559,"222,200","202,186",,,No,จน,จน,Full,Part,
Elephant & Castle,560,"222,199","220,427",,,No,จน,จน,Full,Part,
Broadstairs,561,"221,647","221,573",2,,Full,จน,,Part,Part,
Longfield,562,"221,175","224,114",,,No,จน,จน,Part,Part,
Cobham & Stoke d'Abernon,563,"220,699","225,571",,,Part,จน,จน,Part,Part,
Angmering,564,"219,790","224,310",,,Full,จน,จน,Part,Part,
Princes Risborough,565,"218,860","218,099",,,Full,จน,,Part,Part,
Polmont,566,"218,326","234,028",,,Full,จน,จน,Full,Full,
Ockendon,567,"217,789","214,049",2,,Part,จน,,Part,Part,
Hook,568,"217,468","221,660",,,Part,จน,จน,Part,Part,
Uddingston,569,"217,073","229,300",,,Full,จน,จน,Part,Part,
Long Eaton,570,"214,511","214,878",1,จน,Part,จน,,Part,Part,
Claygate,571,"214,481","213,660",,,Part,จน,จน,Part,Part,
Worcester Foregate St,572,"214,233","165,501",,,Full,จน,จน,Full,Full,
Burton On Trent,573,"214,100","218,472",3,จน,Part,จน,จน,Full,Part,
Ryde Esplanade,574,"213,060","218,576",1,,Part,,จน,Part,Part,
Wood Street,575,"212,405","208,088",,,No,จน,จน,Part,Part,
Nunhead,576,"211,991","205,964",,,No,จน,จน,None,Part,
Barry Island,577,"211,204","217,999",1,จน,Full,,,None,Part,
Argyle Street,578,"211,149","152,037",,,No,จน,จน,Full,Part,
North Wembley,579,"209,258","201,166",2,,No,จน,,Full,Part,
Wigan Wallgate,580,"209,208","171,837",,,Full,จน,จน,Full,Full,
Hatfield Peverel,581,"209,028","210,116",2,,Part,จน,,Part,Part,
Tring,582,"208,748","213,203",2,,No,จน,,Part,Part,
Bellshill,583,"208,682","218,905",,,Full,จน,,Full,Part,
Liphook,584,"207,520","208,239",,,Part,จน,จน,Part,Part,
Bishopton,585,"206,927","217,667",,,Part,จน,จน,Full,Part,
Wivelsfield,586,"206,562","206,271",,,No,จน,จน,Part,Part,
Hildenborough,587,"206,137","208,345",,,Part,จน,จน,Part,Part,
Hurst Green,588,"206,119","203,848",,,Full,จน,จน,Part,Part,
Hornsey,589,"206,001","185,654",2,,No,จน,,Part,Part,
Great Missenden,590,"205,993","196,518",,,Full,จน,,Full,Part,
Neilston,591,"205,940","205,156",,,Full,จน,จน,Full,Full,
Harringay,592,"205,696","182,098",2,,No,จน,,Part,Part,
Penarth,593,"205,478","207,428",1,จน,Full,,,Part,Part,
Deptford,594,"204,718","216,712",2,,No,,,Part,None,
Hounslow,595,"204,515","201,257",,,Part,จน,จน,Part,Part,
Brondesbury,596,"204,035","224,528",,,No,จน,จน,Full,Part,
Crofton Park,597,"202,772","188,880",,,Part,จน,จน,Part,Part,
Waterloo Mersey,598,"202,537","230,748",3,จน,Part,จน,จน,Full,Unknown,
Hampton Wick,599,"202,418","198,396",,,No,จน,จน,Part,Part,
Purley Oaks,600,"201,473","194,652",,,No,จน,จน,Part,Part,
Thatcham,601,"201,228","205,061",,,Part,จน,จน,Part,Part,
Alton,602,"200,580","200,364",,,Part,จน,จน,Part,Part,
Cambuslang,603,"199,697","219,561",,,Full,จน,,Full,Part,
Barrhead,604,"199,539","214,239",,,Part,จน,,Full,Part,
Penzance,605,"199,282","192,726",,,Full,จน,จน,Full,Full,
Horsforth,606,"199,058","200,312",2,จน,Full,,,None,Part,
Theale,607,"198,297","204,414",,,No,จน,จน,Part,Part,
Filton Abbey Wood,608,"197,821","197,487",,,Full,จน,จน,Part,Part,
Canterbury East,609,"197,569","149,587",,,Part,จน,จน,Full,Part,
West Worthing,610,"197,304","197,836",,,No,จน,จน,Part,Part,
Lingfield,611,"196,914","198,454",2,,No,จน,,Part,Part,
Largs,612,"196,803","188,135",,,Full,จน,จน,Full,Full,
Kilmarnock,613,"196,366","201,595",2,จน,Part,จน,จน,Full,Part,
Maghull,614,"195,187","199,004",1,จน,Part,จน,จน,Full,Part,
Deal,615,"195,114","197,570",2,,Full,,,Part,Part,
Great Malvern,616,"194,953","199,458",,,Full,จน,จน,Part,Part,
Wadhurst,617,"193,057","195,428",,,Part,จน,จน,Part,Part,
Tilehurst,618,"192,852","194,570",,,Part,จน,จน,Part,Part,
Wendover,619,"191,696","190,740",,,Part,จน,,Full,Part,
Glossop,620,"191,396","190,522",1,,Full,,จน,Full,Part,
Lower Sydenham,621,"190,947","191,011",,,No,จน,จน,None,Part,
Borough Green & Wrth,622,"190,438","192,553",,,Full,จน,จน,Part,Part,
Hamilton West,623,"189,615","185,859",,,Full,จน,,Full,Part,
Haddenham,624,"189,540","190,430",,,Full,จน,จน,Part,Part,
Grimsby Town,625,"189,159","191,715",,,Full,จน,จน,Part,Part,
Acton Main Line,626,"186,942","171,266",,,No,จน,จน,Part,Part,
Birkenhead Park,627,"186,936","285,399",,,Part,จน,จน,Full,Part,
Sawbridgeworth,628,"186,247","187,898",,,Full,จน,จน,Part,Part,
Exhibition Centre,629,"185,838","185,908",,,No,จน,,Full,Part,
South Bermondsey,630,"185,064","208,444",,,No,จน,จน,Part,Part,
Wrexham General,631,"184,265","180,002",3,จน,Part,จน,จน,Part,Part,
Coatbridge Sunnyside,632,"184,255","186,142",,,Full,จน,,Full,Part,
Beeston,633,"184,012","180,829",,,Part,จน,จน,Full,Part,
Sunbury,634,"183,571","183,729",,,Part,จน,จน,Part,Part,
Welwyn North,635,"182,893","185,896",2,,Part,จน,,Part,Part,
Ewell East,636,"182,506","193,562",,,No,จน,จน,Part,Part,
Marks Tey,637,"182,502","182,477",,,Part,จน,จน,Full,Part,
Falkirk High,638,"182,471","168,510",,,Full,จน,จน,Full,Full,
Stowmarket,639,"182,399","184,932",,,Part,จน,จน,Full,Part,
Dunblane,640,"182,059","181,109",,,Part,จน,,Part,Part,
Greenock West,641,"181,428","180,446",,,No,จน,จน,Full,Part,
St Helens Central,642,"180,961","185,637",,,Full,จน,จน,Full,Full,
Carpenders Park,643,"180,780","171,303",2,,Full,จน,,Part,Part,
Bethnal Green,644,"180,504","204,984",2,,No,จน,,None,Part,
Thames Ditton,645,"179,634","177,249",,,Full,จน,จน,Part,Part,
Orrell Park,646,"179,346","189,691",,,Part,จน,จน,Full,Part,
Dorchester South,647,"179,167","180,625",,,Part,จน,จน,Part,Part,
North Camp,648,"179,141","177,768",,,Full,จน,จน,Part,Part,
Kenton,649,"178,909","183,228",2,,No,จน,,Part,Part,
Oxshott,650,"178,104","176,805",,,Part,จน,จน,Part,Part,
Goring & Streatley,651,"177,366","178,039",,,Part,จน,จน,Part,Part,
Essex Road,652,"176,339","180,086",,,No,จน,จน,Part,Part,
Bridlington,653,"176,284","177,522",3,จน,Part,,,Part,None,
Newark North Gate,654,"176,120","159,006",,,Part,จน,จน,Full,Part,
Brimsdown,655,"175,838","172,509",,,Full,จน,จน,Part,Part,
Otford,656,"175,737","176,834",,,Part,จน,จน,Part,Part,
Ash Vale,657,"175,578","175,309",,,No,จน,จน,Part,Part,
Garforth,658,"175,235","173,221",2,,No,จน,,Part,Part,
Stansted Mountfitchet,659,"175,230","185,894",,,Part,จน,จน,Part,Part,
Gourock,660,"173,776","169,892",,,Full,จน,จน,Full,Full,
Kirkby Merseyside,661,"173,160","176,938",,,Part,จน,จน,Full,Part,
Stourbridge Junction,662,"173,080","167,881",2,จน,Full,จน,,Full,Part,
Sydenham Hill,663,"172,837","166,925",,,Part,จน,จน,None,Part,
Clarkston,664,"172,186","191,000",,,Part,จน,จน,Part,Part,
Eden Park,665,"171,104","173,033",,,Part,จน,จน,Part,Part,
Pangbourne,666,"170,798","173,258",,,Part,จน,จน,Part,Part,
Hooton,667,"170,776","175,682",,,No,จน,จน,Full,Part,
Billingshurst,668,"170,772","171,250",,,No,จน,จน,Part,Part,
Metro Centre Gateshd,669,"170,462","172,564",3,จน,Part,จน,,None,Part,
Sandy,670,"170,420","173,707",3,,Part,จน,,Part,Part,
Larbert,671,"170,033","174,264",,,Full,จน,,Full,Part,
Runcorn,672,"170,032","165,109",,,Full,จน,จน,Full,Full,
Kings Langley,673,"170,026","173,292",3,,Part,จน,,Part,Part,
Earley,674,"169,494","160,513",,,Part,จน,จน,Part,Part,
Bishopbriggs,675,"169,270","184,352",,,Part,จน,จน,Full,Part,
Paignton,676,"168,809","167,512",,,Full,จน,จน,Part,Part,
Finchley Rd & Frognl,677,"168,756","186,497",,,No,จน,จน,Part,Part,
Swanwick,678,"168,732","171,543",,,Part,จน,จน,Part,Part,
Virginia Water,679,"168,605","167,176",,,Part,จน,จน,Part,Part,
Aberdare,680,"168,561","162,445",1,,Full,,,Part,Part,
Birkenhead Central,681,"168,197","144,424",,,Full,จน,จน,Full,Full,
Selby,682,"167,014","167,250",3,,Full,จน,,Part,Part,
North Berwick,683,"166,667","166,777",,,Full,จน,,None,Part,
Goring By Sea,684,"166,660","166,589",,,No,จน,จน,Part,Part,
Worksop,685,"166,660","165,259",3,,Full,จน,,Part,Part,
Lowestoft,686,"166,597","164,473",,,Full,จน,จน,Full,Full,
Shanklin,687,"166,484","163,403",3,,Full,,,Part,Part,
Cheadle Hulme,688,"166,396","169,760",1,จน,No,,จน,Full,Part,
Berwick upon Tweed,689,"165,773","165,335",,,Full,จน,จน,Full,Full,
South Gyle,690,"165,699","200,086",,,Full,จน,,None,Part,
Port Glasgow,691,"165,394","171,384",,,Full,จน,จน,Full,Full,
Blackwater,692,"165,231","168,037",,,Full,จน,จน,None,Part,
Five Ways,693,"164,847","174,639",,,Full,จน,จน,Full,Full,
Winnersh,694,"164,777","163,482",,,Full,จน,จน,Part,Part,
Steeton & Silsden,695,"164,465","162,315",3,,No,จน,,None,Part,
Mansfield,696,"163,901","172,091",1,,Full,,จน,Part,Part,
Kenley,697,"163,548","159,172",3,,No,จน,,Part,Part,
Bebington,698,"162,910","180,308",,,Full,จน,จน,Full,Full,
Harlington Beds,699,"162,577","160,378",,,Part,จน,จน,Part,Part,
Crosshill,700,"162,394","170,332",,,No,จน,จน,Part,Part,
Baldock,701,"162,243","169,489",3,,No,จน,,Part,Part,
Great Yarmouth,702,"162,132","161,351",,,Full,จน,จน,Full,Full,
Queenstown Rd Battrs,703,"161,949","169,685",,,No,จน,จน,None,Part,
London Road Brighton,704,"161,410","152,380",,,No,จน,จน,Part,Part,
Gillingham Dorset,705,"161,406","164,575",2,จน,Part,จน,จน,Part,Part,
Camberley,706,"160,828","164,337",,,Part,จน,จน,Part,Part,
Knebworth,707,"160,659","167,352",3,,No,จน,,Part,Part,
White Hart Lane,708,"160,161","167,027",,,No,จน,จน,Part,Part,
Kings Norton,709,"159,818","160,550",,,Insufficient info provided by station operator,จน,จน,Full,Full,
Clydebank,710,"159,765","173,086",,,Full,จน,,Part,Part,
Kensal Rise,711,"159,102","174,201",3,,No,จน,,Part,Part,
Saltaire,712,"158,852","165,260",3,,Full,จน,,None,Part,
Pulborough,713,"158,706","161,551",,,No,จน,จน,Part,Part,
Diss,714,"158,079","170,527",,,Part,จน,จน,Full,Part,
Dalreoch,715,"157,664","158,482",,,Part,จน,จน,Full,Part,
St Johns,716,"157,569","158,455",,,No,จน,จน,Part,Part,
Waddon,717,"157,174","156,681",,,No,จน,จน,Part,Part,
Christchurch,718,"156,884","157,231",,,Part,จน,จน,Part,Part,
Totnes,719,"156,810","159,404",,,Part,จน,จน,Part,Part,
Hazel Grove,720,"156,659","153,152",1,จน,Part,จน,จน,Part,Part,
Liverpool James St,721,"155,870","44,215",,,Full,จน,จน,Full,Full,
Birchwood,722,"155,252","151,872",3,,No,,,Full,Part,
Kew Bridge,723,"155,012","168,979",,,No,จน,จน,None,Part,
Bootle New Strand,724,"155,003","190,448",,,Part,จน,จน,Full,Part,
Birmingham Snow Hill,725,"154,952","70,133",,,Full,จน,จน,Full,Full,
Rotherham Central,726,"154,317","160,829",3,,Full,,,Part,Part,
Shepperton,727,"153,738","151,778",,,Full,จน,จน,Part,Part,
East Tilbury,728,"153,368","146,887",,,Full,จน,จน,Part,Part,
Huyton,729,"152,064","153,271",,,Full,จน,จน,Full,Full,
Hertford East,730,"151,767","123,391",,,Full,จน,จน,Part,Part,
Hebden Bridge,731,"151,646","151,672",3,,No,จน,,Part,Part,
Romsey,732,"151,261","153,793",,,Full,จน,จน,Part,Part,
Sleaford,733,"150,926","150,080",,,Full,จน,จน,Part,Part,
Hatch End,734,"150,894","159,514",3,,Part,จน,,Part,Part,
Rock Ferry,735,"150,431","131,016",3,,Part,จน,,Full,Part,
Warwick,736,"150,327","157,213",3,,Part,จน,,Part,Part,
Rutherglen,737,"150,266","157,898",,,No,จน,จน,Full,Part,
Kirkdale,738,"149,808","149,588",,,Full,จน,จน,Full,Full,
Wellington,739,"149,772","149,926",3,จน,Full,,,Part,Part,
Brixton,740,"149,580","170,470",,,Part,จน,จน,Part,Part,
New Southgate,741,"149,182","142,356",3,,No,จน,,Part,Part,
Cathcart,742,"148,701","161,489",,,No,จน,,Part,Part,
Cathays,743,"148,341","149,670",1,,Full,,จน,None,Part,
Bournville,744,"148,324","146,907",3,,Part,จน,,Full,Part,
Dumfries,745,"147,649","147,406",,,Full,จน,จน,Full,Full,
Bearsted,746,"147,249","147,638",1,,No,,จน,Part,Part,
Blundellsands & Crosby,747,"147,189","149,496",3,,Part,จน,,Full,Part,
Homerton,748,"147,031","129,829",,,Full,จน,จน,Full,Full,
Wivenhoe,749,"146,987","146,594",,,No,จน,จน,None,Part,
Saltcoats,750,"146,882","157,268",,,Full,จน,จน,Part,Part,
Hexham,751,"145,230","160,961",2,จน,Part,จน,จน,Part,Part,
Rectory Road,752,"145,111","141,431",,,No,จน,จน,Part,Part,
London Road Guildford,753,"144,976","147,305",,,Part,จน,จน,Part,Part,
St Margarets Herts,754,"144,808","149,955",,,Full,จน,จน,Part,Part,
Northallerton,755,"144,796","148,341",3,,Full,,,Part,Part,
Muirend,756,"144,543","157,927",,,Full,จน,จน,Part,Part,
Aintree,757,"144,515","139,999",,,Full,จน,จน,Full,Full,
Chessington North,758,"144,017","137,432",,,No,จน,จน,Part,Part,
Chiswick,759,"143,447","146,088",,,Part,จน,จน,Part,Part,
West Horndon,760,"143,012","143,606",,,Part,จน,จน,Part,Part,
Burnham on Crouch,761,"142,860","144,887",,,Full,จน,จน,Part,Part,
Carmarthen,762,"142,844","140,583",,,Full,จน,จน,Full,Full,
Formby,763,"142,375","137,447",,,Part,จน,จน,Full,Part,
Stonehaven,764,"142,249","159,839",,,Full,จน,จน,Full,Full,
Torquay,765,"141,767","142,799",2,จน,No,จน,จน,Part,Part,
Queens Park Glasgow,766,"141,637","159,681",,,No,จน,,Full,Part,
Teignmouth,767,"141,503","144,968",,,Full,จน,จน,Part,Part,
Arbroath,768,"141,452","142,940",,,Part,จน,จน,Part,Part,
