 RODS report3h created at 13:28:09 on 29-03-2017,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,
Originating National Rail/DLR stations,,,,,,,,,,,,
,,,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Day
Arrivals at,,to line/direction,,from NR/DLR Origin,,    - 7am ,  7am-10am,  10am-4pm,  4pm-7pm ,  7pm-10pm,  10pm+   ,total
512,Balham                        ,Northern       ,N,5374,Mitcham                       ,0,0,0,0,43,0,43
512,Balham                        ,Northern       ,N,6961,Bethnal Green Br              ,0,0,0,92,0,0,92
512,Balham                        ,Northern       ,N,5420,Battersea Park                ,0,0,0,0,11,14,25
512,Balham                        ,Northern       ,N,5438,West Norwood                  ,0,27,6,0,1,0,34
512,Balham                        ,Northern       ,N,5383,Streatham                     ,0,4,9,0,0,0,13
512,Balham                        ,Northern       ,N,5148,London Bridge Br              ,0,0,2,0,0,0,2
512,Balham                        ,Northern       ,N,5352,Cheam                         ,0,34,0,0,0,0,34
512,Balham                        ,Northern       ,N,7930,Gypsy Lane                    ,0,1,0,0,0,0,1
512,Balham                        ,Northern       ,S,5355,East Croydon                  ,4,17,12,10,0,0,42
512,Balham                        ,Northern       ,S,5428,Norbury                       ,9,69,35,48,2,7,171
512,Balham                        ,Northern       ,S,5363,Gipsy Hill                    ,1,46,30,0,0,0,77
512,Balham                        ,Northern       ,S,5434,Selhurst                      ,0,14,0,0,0,0,14
512,Balham                        ,Northern       ,S,5435,Streatham Hill                ,0,6,0,0,0,0,6
512,Balham                        ,Northern       ,S,5357,Dorking                       ,0,8,0,0,0,0,8
512,Balham                        ,Northern       ,S,5384,Streatham Common              ,19,98,0,11,0,0,128
512,Balham                        ,Northern       ,S,5376,Norwood Junction              ,0,14,0,0,0,0,14
512,Balham                        ,Northern       ,S,5438,West Norwood                  ,0,16,0,0,4,0,20
512,Balham                        ,Northern       ,S,5405,Carshalton                    ,0,19,0,0,0,0,19
512,Balham                        ,Northern       ,S,5046,Beckenham Junction            ,0,15,15,0,0,0,30
512,Balham                        ,Northern       ,S,5595,Clapham Junction              ,0,25,147,0,21,16,210
512,Balham                        ,Northern       ,S,3092,Kensington (Olympia) NR       ,0,22,0,0,0,0,22
512,Balham                        ,Northern       ,S,5404,Brockley                      ,0,21,7,0,0,0,28
512,Balham                        ,Northern       ,S,5411,West Croydon                  ,0,0,31,0,0,0,31
512,Balham                        ,Northern       ,S,0,Not stated                    ,0,0,34,0,0,0,34
512,Balham                        ,Northern       ,S,5430,Purley Oaks                   ,0,0,7,0,0,0,7
512,Balham                        ,Northern       ,S,5420,Battersea Park                ,0,0,0,25,0,0,25
512,Balham                        ,Northern       ,S,5426,Victoria Br London            ,0,0,105,203,18,13,338
512,Balham                        ,Northern       ,S,5670,Staines                       ,11,28,0,60,0,0,99
512,Balham                        ,Northern       ,S,5064,Bromley South                 ,0,0,0,109,0,0,109
512,Balham                        ,Northern       ,S,5583,Chiswick                      ,0,0,0,87,112,0,199
512,Balham                        ,Northern       ,S,5437,Sydenham                      ,0,0,0,0,4,0,4
512,Balham                        ,Northern       ,S,5576,Wandsworth Town               ,0,0,0,8,0,0,8
512,Balham                        ,Northern       ,S,5559,Feltham                       ,0,0,0,0,3,0,3
512,Balham                        ,Northern       ,S,5388,Thornton Heath                ,0,0,0,0,95,0,95
512,Balham                        ,Northern       ,S,5395,Wandsworth Common             ,0,0,0,38,0,0,38
512,Balham                        ,Northern       ,S,5565,Kingston                      ,0,0,0,0,2,0,2
512,Balham                        ,Northern       ,S,5416,Gatwick Airport               ,0,0,0,0,0,5,5
512,Balham                        ,Northern       ,S,5410,South Croydon                 ,0,0,0,0,0,18,18
512,Balham                        ,Northern       ,S,5560,Hampton                       ,0,0,2,0,0,0,2
512,Balham                        ,Northern       ,S,5383,Streatham                     ,0,0,1,0,0,0,1
512,Balham                        ,Northern       ,S,5203,Rochester                     ,0,0,45,0,0,0,45
512,Balham                        ,Northern       ,S,5392,Waddon                        ,0,0,0,0,0,0,0
512,Balham                        ,Northern       ,S,5267,Angmering                     ,0,0,0,0,7,0,7
512,Balham                        ,Northern       ,S,5571,Surbiton                      ,0,0,0,0,19,0,19
513,Bank / Monument               ,Central        ,E,5142,Cannon Street - NR            ,0,0,0,0,2,0,2
513,Bank / Monument               ,Central        ,E,5466,Ashford International         ,0,0,0,0,0,0,0
513,Bank / Monument               ,Central        ,E,5575,Walton On Thames              ,0,0,0,0,0,0,0
513,Bank / Monument               ,Central        ,E,5578,Wimbledon - NR                ,0,28,5,257,18,0,308
513,Bank / Monument               ,Central        ,E,5273,Hove                          ,0,1,0,0,0,0,1
513,Bank / Monument               ,Central        ,E,5268,Brighton                      ,0,0,0,0,0,0,0
513,Bank / Monument               ,Central        ,E,5571,Surbiton                      ,1,73,71,8,0,0,152
513,Bank / Monument               ,Central        ,E,5586,Ewell West                    ,1,21,0,0,0,0,22
513,Bank / Monument               ,Central        ,E,5645,Motspur Park                  ,4,37,0,0,0,0,41
513,Bank / Monument               ,Central        ,E,5229,Tonbridge                     ,5,19,0,0,0,0,24
513,Bank / Monument               ,Central        ,E,5574,Twickenham                    ,6,54,21,0,0,0,81
513,Bank / Monument               ,Central        ,E,928,Greenwich - DLR - NR          ,4,18,0,0,0,0,21
513,Bank / Monument               ,Central        ,E,5047,Catford Bridge                ,5,41,0,0,0,0,45
513,Bank / Monument               ,Central        ,E,5465,Waterloo International        ,11,34,0,0,0,0,45
513,Bank / Monument               ,Central        ,E,5560,Hampton                       ,20,141,0,0,0,0,162
513,Bank / Monument               ,Central        ,E,5520,Basingstoke                   ,4,12,0,0,0,0,16
513,Bank / Monument               ,Central        ,E,5684,West Byfleet                  ,0,46,0,0,0,0,46
513,Bank / Monument               ,Central        ,E,5584,Earlsfield                    ,0,81,0,0,0,0,81
513,Bank / Monument               ,Central        ,E,5595,Clapham Junction              ,0,15,0,0,0,0,15
513,Bank / Monument               ,Central        ,E,5631,Guildford                     ,0,12,0,0,0,0,12
513,Bank / Monument               ,Central        ,E,5629,Godalming                     ,0,40,0,0,0,0,40
513,Bank / Monument               ,Central        ,E,5567,New Malden                    ,0,12,0,0,0,0,12
513,Bank / Monument               ,Central        ,E,5598,Waterloo London Br            ,0,31,48,13,0,0,91
513,Bank / Monument               ,Central        ,E,5565,Kingston                      ,0,17,0,0,0,0,17
513,Bank / Monument               ,Central        ,E,5108,Kidbrooke                     ,0,14,0,0,0,0,14
513,Bank / Monument               ,Central        ,E,5521,Farnborough Main              ,0,12,0,0,0,0,12
513,Bank / Monument               ,Central        ,E,5360,Epsom                         ,0,35,61,0,0,0,96
513,Bank / Monument               ,Central        ,E,5685,Woking                        ,0,90,0,0,12,0,102
513,Bank / Monument               ,Central        ,E,5603,Putney                        ,0,164,203,0,0,0,366
513,Bank / Monument               ,Central        ,E,5886,Brockenhurst                  ,0,34,0,0,0,0,34
513,Bank / Monument               ,Central        ,E,5667,Ashford London                ,0,22,0,0,0,0,22
513,Bank / Monument               ,Central        ,E,5572,Teddington                    ,0,37,0,23,0,0,60
513,Bank / Monument               ,Central        ,E,5663,Salisbury                     ,0,101,0,0,0,0,101
513,Bank / Monument               ,Central        ,E,5568,Norbiton                      ,0,12,0,0,0,0,12
513,Bank / Monument               ,Central        ,E,6914,Chingford                     ,0,15,0,0,0,0,15
513,Bank / Monument               ,Central        ,E,6876,Forest Gate                   ,0,63,0,0,0,0,63
513,Bank / Monument               ,Central        ,E,857,Mudchute                      ,8,55,0,0,0,0,62
513,Bank / Monument               ,Central        ,E,9999,Other - Outside NSE           ,16,31,0,410,0,0,457
513,Bank / Monument               ,Central        ,E,897,Deptford Bridge               ,0,14,0,0,0,0,14
513,Bank / Monument               ,Central        ,E,861,South Quay                    ,0,59,0,0,0,103,161
513,Bank / Monument               ,Central        ,E,882,Blackwall                     ,0,14,0,0,0,0,14
513,Bank / Monument               ,Central        ,E,862,Limehouse                     ,0,32,0,0,0,28,60
513,Bank / Monument               ,Central        ,E,0,Not stated                    ,0,0,20,35,0,0,54
513,Bank / Monument               ,Central        ,E,6913,Bush Hill Park                ,0,0,14,0,0,0,14
513,Bank / Monument               ,Central        ,E,5368,Leatherhead                   ,0,0,34,0,0,0,34
513,Bank / Monument               ,Central        ,E,6947,Southbury                     ,0,0,22,0,0,0,22
513,Bank / Monument               ,Central        ,E,5559,Feltham                       ,0,0,0,8,0,0,8
513,Bank / Monument               ,Central        ,E,6874,Chadwell Heath                ,0,0,0,0,0,1,1
513,Bank / Monument               ,Central        ,E,5135,Elmstead Woods                ,0,0,0,40,0,0,40
513,Bank / Monument               ,Central        ,E,7402,Leyton Midland Road           ,0,4,0,0,0,0,4
513,Bank / Monument               ,Central        ,E,5289,Haydons Road                  ,0,18,0,0,0,0,18
513,Bank / Monument               ,Central        ,E,855,Heron Quays                   ,0,0,0,109,0,0,109
513,Bank / Monument               ,Central        ,E,842,Canary Wharf - DLR            ,0,0,0,235,0,0,235
513,Bank / Monument               ,Central        ,E,6893,Seven Kings                   ,0,0,0,0,13,0,13
513,Bank / Monument               ,Central        ,E,5714,Axminster                     ,0,0,0,0,6,0,6
513,Bank / Monument               ,Central        ,E,6818,Hertford East                 ,0,0,0,0,2,0,2
513,Bank / Monument               ,Central        ,E,5687,Brookwood                     ,8,13,0,0,0,0,21
513,Bank / Monument               ,Central        ,E,5606,Stoneleigh                    ,8,11,0,0,0,0,19
513,Bank / Monument               ,Central        ,E,5671,Sunningdale                   ,0,92,0,0,0,0,92
513,Bank / Monument               ,Central        ,E,5558,Esher                         ,0,0,0,3,0,0,3
513,Bank / Monument               ,Central        ,E,5580,Barnes Bridge                 ,0,0,0,0,37,0,37
513,Bank / Monument               ,Central        ,E,5146,Greenwich                     ,0,0,0,0,81,0,81
513,Bank / Monument               ,Central        ,W,0,Not stated                    ,0,43,0,0,0,0,43
513,Bank / Monument               ,Central        ,W,5092,Belvedere                     ,0,0,0,0,0,0,0
513,Bank / Monument               ,Central        ,W,5924,Winchester                    ,0,0,0,0,0,0,0
513,Bank / Monument               ,Central        ,W,7460,Thorpe Bay                    ,0,0,12,0,0,0,13
513,Bank / Monument               ,Central        ,W,5362,Forest Hill                   ,0,0,0,0,0,0,0
513,Bank / Monument               ,Central        ,W,5379,Purley                        ,0,2,0,0,0,0,2
513,Bank / Monument               ,Central        ,W,5397,Anerley                       ,0,10,0,0,0,0,10
513,Bank / Monument               ,Central        ,W,860,Shadwell - DLR                ,19,95,54,151,0,0,320
513,Bank / Monument               ,Central        ,W,928,Greenwich - DLR - NR          ,0,56,478,0,0,532,1067
513,Bank / Monument               ,Central        ,W,890,Royal Albert                  ,0,0,4,0,0,0,4
513,Bank / Monument               ,Central        ,W,865,Westferry                     ,13,243,390,62,0,0,707
513,Bank / Monument               ,Central        ,W,559,West Silvertown               ,2,73,1,449,0,0,526
513,Bank / Monument               ,Central        ,W,862,Limehouse                     ,43,485,533,175,12,0,1246
513,Bank / Monument               ,Central        ,W,856,Island Gardens                ,40,269,0,89,0,0,397
513,Bank / Monument               ,Central        ,W,1442,Carpenders Park               ,0,1,0,0,0,0,1
513,Bank / Monument               ,Central        ,W,940,Lewisham                      ,3,27,99,0,0,0,129
513,Bank / Monument               ,Central        ,W,1378,Milton Keynes Cent            ,0,0,0,0,0,0,0
513,Bank / Monument               ,Central        ,W,5657,Petersfield                   ,0,0,0,0,0,0,0
513,Bank / Monument               ,Central        ,W,842,Canary Wharf - DLR            ,0,53,82,335,320,571,1361
513,Bank / Monument               ,Central        ,W,5685,Woking                        ,0,0,1,0,0,0,1
513,Bank / Monument               ,Central        ,W,886,Royal Victoria                ,16,37,0,1,414,0,468
513,Bank / Monument               ,Central        ,W,9999,Other - Outside NSE           ,17,276,86,471,5,0,855
513,Bank / Monument               ,Central        ,W,1083,Surrey Quays                  ,0,0,0,0,0,0,0
513,Bank / Monument               ,Central        ,W,5368,Leatherhead                   ,0,0,1,0,0,0,1
513,Bank / Monument               ,Central        ,W,5151,Westcombe Park                ,0,30,0,0,0,0,30
513,Bank / Monument               ,Central        ,W,879,Cutty Sark                    ,29,131,89,12,145,0,406
513,Bank / Monument               ,Central        ,W,850,All Saints                    ,3,60,0,0,0,0,63
513,Bank / Monument               ,Central        ,W,858,Poplar                        ,0,0,39,17,0,0,56
513,Bank / Monument               ,Central        ,W,7439,Benfleet                      ,1,79,0,0,0,0,80
513,Bank / Monument               ,Central        ,W,7469,Chalkwell                     ,1,51,0,10,0,0,62
513,Bank / Monument               ,Central        ,W,7451,Ockendon                      ,0,28,0,0,0,0,28
513,Bank / Monument               ,Central        ,W,5142,Cannon Street - NR            ,27,66,47,0,0,0,139
513,Bank / Monument               ,Central        ,W,7494,Basildon                      ,8,54,37,0,0,0,100
