 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
Journeys Entering from NR/DLR,,,,,,,,,,,
Entry Station,,Period,,Total,To Zone 1,2,3,4,5,6,7
884,Canning Town                  ,PM Peak     ,DLR     ,7339,1734,3998,526,600,249,232,0
884,Canning Town                  ,PM Peak     ,All     ,10092,2593,5528,616,820,295,240,0
884,Canning Town                  ,Evening     ,DLR     ,3913,1602,1785,208,243,11,64,0
884,Canning Town                  ,Evening     ,All     ,5753,2259,2833,271,272,53,64,0
884,Canning Town                  ,Late        ,DLR     ,1935,680,1061,188,6,0,0,0
884,Canning Town                  ,Late        ,All     ,2449,868,1238,333,9,0,0,0
536,Cannon Street                 ,Early       ,NR      ,344,300,41,3,0,0,0,0
536,Cannon Street                 ,Early       ,All     ,439,343,93,3,0,0,0,0
536,Cannon Street                 ,AM peak     ,NR      ,3739,3135,534,46,17,7,0,0
536,Cannon Street                 ,AM peak     ,All     ,4555,3831,627,66,25,7,0,0
536,Cannon Street                 ,Midday      ,NR      ,1104,866,141,96,0,0,0,0
536,Cannon Street                 ,Midday      ,All     ,3075,2258,433,309,35,3,28,9
536,Cannon Street                 ,PM Peak     ,NR      ,797,522,141,71,0,1,45,16
536,Cannon Street                 ,PM Peak     ,All     ,4580,2681,995,470,222,34,162,16
536,Cannon Street                 ,Evening     ,NR      ,211,149,62,0,0,0,0,0
536,Cannon Street                 ,Evening     ,All     ,1618,862,598,52,46,36,24,0
539,Chalfont & Latimer            ,Early       ,All     ,285,229,3,0,12,34,0,6
539,Chalfont & Latimer            ,AM peak     ,NR      ,1,0,1,0,0,0,0,0
539,Chalfont & Latimer            ,AM peak     ,All     ,973,716,78,6,35,53,9,77
539,Chalfont & Latimer            ,Midday      ,All     ,560,268,46,0,114,1,0,131
539,Chalfont & Latimer            ,PM Peak     ,NR      ,78,0,8,0,0,0,0,70
539,Chalfont & Latimer            ,PM Peak     ,All     ,392,194,54,0,13,12,3,116
539,Chalfont & Latimer            ,Evening     ,All     ,54,12,0,12,0,2,0,28
539,Chalfont & Latimer            ,Late        ,All     ,27,0,0,3,0,13,0,12
718,Charing Cross                 ,Early       ,NR      ,685,530,62,78,15,1,0,0
718,Charing Cross                 ,Early       ,All     ,759,580,76,78,15,3,7,0
718,Charing Cross                 ,AM peak     ,NR      ,6745,5199,904,423,147,42,11,18
718,Charing Cross                 ,AM peak     ,All     ,7833,5995,1162,436,151,46,24,18
718,Charing Cross                 ,Midday      ,NR      ,3527,2738,606,87,64,17,12,2
718,Charing Cross                 ,Midday      ,All     ,8702,6069,1357,609,321,141,161,45
718,Charing Cross                 ,PM Peak     ,NR      ,1231,775,338,60,0,25,32,0
718,Charing Cross                 ,PM Peak     ,All     ,8483,3608,2390,1248,620,310,226,80
718,Charing Cross                 ,Evening     ,NR      ,231,161,31,7,31,2,0,0
718,Charing Cross                 ,Evening     ,All     ,4636,1723,1426,613,522,153,73,126
718,Charing Cross                 ,Late        ,NR      ,180,55,118,7,0,0,0,0
718,Charing Cross                 ,Late        ,All     ,3110,938,1178,478,146,153,55,162
546,Chorleywood                   ,Early       ,NR      ,2,2,0,0,0,0,0,0
546,Chorleywood                   ,Early       ,All     ,245,134,105,0,1,2,0,2
546,Chorleywood                   ,AM peak     ,NR      ,6,2,0,0,0,0,4,0
546,Chorleywood                   ,AM peak     ,All     ,820,637,80,10,6,18,13,55
546,Chorleywood                   ,Midday      ,All     ,374,273,32,0,1,30,15,23
546,Chorleywood                   ,PM Peak     ,NR      ,8,0,8,0,0,0,0,0
546,Chorleywood                   ,PM Peak     ,All     ,264,184,8,1,0,52,5,14
546,Chorleywood                   ,Evening     ,All     ,47,5,0,0,0,0,0,42
546,Chorleywood                   ,Late        ,All     ,20,0,0,0,13,0,0,7
