 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,
Final National Rail/DLR stations,,,,,,,,,,
,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Weekday
All departures from,,to NR/DLR Destination,, - 7am ,7am-10am,10am-4pm,4pm-7pm ,7pm-10pm,10pm+,total
513,Bank / Monument               ,928,Greenwich - DLR - NR          ,0,17,238,358,25,6,644
513,Bank / Monument               ,5139,Grove Park                    ,0,0,9,12,0,0,21
513,Bank / Monument               ,5631,Guildford                     ,13,24,0,11,0,0,48
513,Bank / Monument               ,7930,Gypsy Lane                    ,0,0,0,6,0,0,6
513,Bank / Monument               ,1022,Haggerston                    ,0,11,0,0,0,0,11
513,Bank / Monument               ,5560,Hampton                       ,0,0,0,9,0,0,9
513,Bank / Monument               ,5561,Hampton Court                 ,0,0,0,0,0,0,0
513,Bank / Monument               ,5589,Hampton Wick                  ,0,0,42,0,0,0,42
513,Bank / Monument               ,6012,Harringay                     ,0,0,0,2,0,0,2
513,Bank / Monument               ,5633,Haslemere                     ,0,0,0,2,0,0,2
513,Bank / Monument               ,3186,Hayes & Harlington            ,0,0,19,0,0,0,19
513,Bank / Monument               ,5893,Hedge End                     ,0,5,0,0,0,0,5
513,Bank / Monument               ,5174,Herne Bay                     ,0,0,0,3,0,0,3
513,Bank / Monument               ,855,Heron Quays                   ,29,640,199,281,53,25,1228
513,Bank / Monument               ,5590,Hersham                       ,0,6,0,0,0,0,6
513,Bank / Monument               ,5107,Hither Green                  ,0,0,0,1,0,0,1
513,Bank / Monument               ,5523,Hook                          ,0,0,19,0,0,0,19
513,Bank / Monument               ,6108,Huntingdon                    ,0,0,0,21,0,0,21
513,Bank / Monument               ,6881,Ilford                        ,0,0,12,0,0,0,12
513,Bank / Monument               ,856,Island Gardens                ,2,151,238,442,262,41,1137
513,Bank / Monument               ,523,King George V                 ,0,0,109,205,32,2,348
513,Bank / Monument               ,7115,Kings Lynn                    ,0,0,0,84,0,0,84
513,Bank / Monument               ,2057,Kirkby Stephen West           ,0,0,11,0,0,0,11
513,Bank / Monument               ,7445,Laindon                       ,0,0,7,2,0,0,9
513,Bank / Monument               ,853,Langdon Park                  ,0,0,0,41,53,0,95
513,Bank / Monument               ,5368,Leatherhead                   ,0,0,0,5,0,0,5
513,Bank / Monument               ,7446,Leigh-on-Sea                  ,0,0,0,7,1,0,8
513,Bank / Monument               ,1373,Leighton Buzzard              ,0,0,0,1,0,0,1
513,Bank / Monument               ,940,Lewisham                      ,1,27,154,535,30,3,751
513,Bank / Monument               ,5051,Lewisham - NR                 ,13,25,9,24,10,0,82
513,Bank / Monument               ,862,Limehouse                     ,16,359,533,1446,465,468,3287
513,Bank / Monument               ,7491,Limehouse Br                  ,0,17,98,77,16,0,207
513,Bank / Monument               ,5634,Liphook                       ,0,0,0,0,0,0,0
513,Bank / Monument               ,2246,Liverpool Lime Street         ,0,4,0,6,0,0,10
513,Bank / Monument               ,5148,London Bridge Br              ,0,3,0,0,0,0,3
513,Bank / Monument               ,533,London City Airport           ,27,118,545,145,0,0,834
513,Bank / Monument               ,1570,Luton Airport Parkway         ,0,57,0,0,0,0,57
513,Bank / Monument               ,6863,Marks Tey                     ,0,0,0,6,0,0,6
513,Bank / Monument               ,5149,Maze Hill                     ,0,0,0,11,0,0,11
513,Bank / Monument               ,1378,Milton Keynes Cent            ,0,0,0,36,0,0,36
513,Bank / Monument               ,5374,Mitcham                       ,0,61,0,0,0,0,61
513,Bank / Monument               ,5600,Mortlake                      ,0,0,11,0,0,0,11
513,Bank / Monument               ,5118,Mottingham                    ,0,0,0,27,0,0,27
513,Bank / Monument               ,857,Mudchute                      ,0,44,19,429,133,62,686
513,Bank / Monument               ,5345,New Cross Gate                ,0,50,0,0,0,0,50
513,Bank / Monument               ,5567,New Malden                    ,0,0,13,0,0,0,13
513,Bank / Monument               ,7039,Newport (Essex)               ,0,0,0,1,0,0,1
513,Bank / Monument               ,5429,North Dulwich                 ,0,0,0,0,0,2,2
513,Bank / Monument               ,1111,Northfield                    ,0,0,0,2,0,0,2
513,Bank / Monument               ,7309,Norwich                       ,0,0,139,0,0,0,139
513,Bank / Monument               ,5376,Norwood Junction              ,0,0,0,57,3,0,60
513,Bank / Monument               ,0,Not stated                    ,0,8,14,315,17,1,355
513,Bank / Monument               ,1826,Nottingham                    ,0,0,0,2,0,0,2
513,Bank / Monument               ,7451,Ockendon                      ,0,0,2,0,0,0,2
513,Bank / Monument               ,5122,Orpington                     ,0,0,1,1,0,0,3
513,Bank / Monument               ,9999,Other - Outside NSE           ,63,571,533,192,1,2,1361
513,Bank / Monument               ,5602,Oxshott                       ,0,0,0,5,0,0,5
513,Bank / Monument               ,5377,Oxted                         ,0,0,0,1,0,0,1
513,Bank / Monument               ,5224,Paddock Wood                  ,0,0,0,2,0,0,2
513,Bank / Monument               ,5378,Penge West                    ,0,0,10,0,0,0,10
513,Bank / Monument               ,7452,Pitsea                        ,0,0,0,1,0,0,1
513,Bank / Monument               ,5208,Plumstead                     ,0,0,11,0,173,0,184
513,Bank / Monument               ,538,Pontoon Dock                  ,0,0,67,118,114,0,299
513,Bank / Monument               ,858,Poplar                        ,30,209,111,57,175,0,582
513,Bank / Monument               ,888,Prince Regent                 ,13,34,157,0,8,0,213
513,Bank / Monument               ,5430,Purley Oaks                   ,0,0,0,10,0,0,10
513,Bank / Monument               ,5596,Queenstown Road               ,0,0,0,7,0,0,7
