NLC,Station,timePeriod,Total,Male,Female,Notstated,NotStated,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,,,,,,,,,
524,BondStreet,Late,4054,1315,1775,965,988,0,286,361,1137,773,463,18,23,5,2945,0,14,0,1095,0,0,0,0
524,BondStreet,Totalday,60929,20833,37022,3074,3146,50,1962,10301,16740,9884,12701,3091,1740,1314,27971,642,248,35,31640,66,68,142,116
525,Borough,Early,158,31,14,113,113,0,0,2,3,34,6,0,0,0,158,0,0,0,0,0,0,0,0
525,Borough,AMpeak,1690,731,733,226,226,4,6,417,458,266,287,16,11,0,1467,0,0,0,223,0,0,0,0
525,Borough,Midday,2639,1254,1239,146,156,0,64,514,445,605,654,35,103,63,2007,2,0,0,608,0,0,23,0
525,Borough,PMPeak,3514,1419,2067,27,14,0,48,675,1094,877,645,71,54,37,2640,7,0,12,794,11,0,50,0
525,Borough,Evening,1163,501,558,104,77,0,0,159,445,209,237,35,0,1,1012,2,0,0,140,9,0,0,0
525,Borough,Late,389,95,153,140,140,0,0,34,158,14,30,13,0,0,360,0,0,0,29,0,0,0,0
525,Borough,Totalday,9553,4032,4764,756,726,4,118,1801,2602,2004,1858,169,168,102,7644,10,0,12,1794,20,0,73,0
526,BostonManor,Early,243,0,0,243,243,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0
526,BostonManor,AMpeak,1700,665,950,85,63,3,170,169,520,225,388,91,65,5,1700,0,0,0,0,0,0,0,0
526,BostonManor,Midday,914,398,341,174,126,46,112,106,109,100,141,7,143,24,914,0,0,0,0,0,0,0,0
526,BostonManor,PMPeak,822,442,110,269,269,0,0,43,136,48,139,29,117,41,822,0,0,0,0,0,0,0,0
526,BostonManor,Evening,200,100,32,68,68,0,0,0,47,76,9,0,0,0,200,0,0,0,0,0,0,0,0
526,BostonManor,Late,39,10,2,26,26,0,0,9,2,1,0,0,0,0,39,0,0,0,0,0,0,0,0
526,BostonManor,Totalday,3917,1615,1436,866,796,50,282,328,813,450,677,127,325,69,3917,0,0,0,0,0,0,0,0
527,BoundsGreen,Early,1187,0,0,1187,1187,0,0,0,0,0,0,0,0,0,1187,0,0,0,0,0,0,0,0
527,BoundsGreen,AMpeak,4926,2269,2391,266,128,0,49,531,1314,1213,1319,285,65,21,4926,0,0,0,0,0,0,0,0
527,BoundsGreen,Midday,2509,930,1096,482,485,0,64,640,341,652,196,7,63,61,2509,0,0,0,0,0,0,0,0
527,BoundsGreen,PMPeak,1431,510,596,325,311,62,75,138,106,206,492,15,14,13,1431,0,0,0,0,0,0,0,0
527,BoundsGreen,Evening,537,188,99,250,250,0,0,13,189,0,30,0,55,0,537,0,0,0,0,0,0,0,0
527,BoundsGreen,Late,155,35,20,100,100,0,0,42,12,0,0,0,0,0,155,0,0,0,0,0,0,0,0
527,BoundsGreen,Totalday,10744,3931,4202,2611,2461,62,189,1364,1962,2071,2036,307,197,95,10744,0,0,0,0,0,0,0,0
528,BowRoad,Early,549,0,0,549,549,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0
528,BowRoad,AMpeak,4185,1680,2258,247,122,0,133,533,2685,419,255,3,6,31,1965,9,6,0,2203,0,0,1,0
528,BowRoad,Midday,2285,954,1239,92,9,78,125,708,878,133,176,90,12,78,1615,39,0,9,622,0,0,0,0
528,BowRoad,PMPeak,1456,532,923,0,0,0,1,228,981,104,134,0,9,0,890,0,0,0,558,8,0,0,0
528,BowRoad,Evening,534,324,190,20,6,0,0,123,372,19,13,0,1,0,424,0,0,5,105,0,0,0,0
528,BowRoad,Late,177,120,34,23,23,0,0,130,17,0,8,0,0,0,176,0,0,0,1,0,0,0,0
528,BowRoad,Totalday,9186,3610,4645,930,708,78,259,1721,4932,674,585,92,28,109,5619,48,6,14,3488,8,0,2,0
529,BrentCross,Early,334,0,0,334,334,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0
529,BrentCross,AMpeak,1556,767,692,97,26,6,40,497,460,229,227,52,11,8,1383,0,0,1,164,6,0,1,2
529,BrentCross,Midday,1069,477,582,11,3,1,103,322,260,94,138,10,123,16,909,2,0,0,156,0,0,3,0
529,BrentCross,PMPeak,713,364,349,0,1,5,104,197,99,144,124,0,10,29,550,0,5,0,153,3,0,0,2
