NLC,Station,Time period,Ticket Type,Total passengers,Total passenger kilometres,Average journey length (kms),
728,Tottenham Court Road,Total day,  Total all types,60290,442450.75,7.34,
729,Tottenham Hale,Total day,  Total all types,21063,232701.97,11.05,
730,Totteridge & Whetsto,Total day,  Total all types,3814,61329.39,16.08,
731,Tower Hill,,Total day,  Total all types,33525,231163.33,6.9,
733,Tufnell Park,,Total day,  Total all types,5929,47220.49,7.96,
734,Turnham Green ,Total day,  Total all types,8766,81867.28,9.34,
735,Turnpike Lane ,Total day,  Total all types,16172,169543.16,10.48,
736,Upminster, ,Total day,  Total all types,4945,75711.57,15.31,
737,Upminster Bridge ,Total day,  Total all types,2100,32783.15,15.61,
738,Upney,  ,Total day,  Total all types,4705,53596.21,11.39,
739,Upton Park,,Total day,  Total all types,16454,185876.91,11.3,
740,Uxbridge,  ,Total day,  Total all types,13856,265022.25,19.13,
777,Vauxhall,  ,Total day,  Total all types,52018,418705.38,8.05,
741,Victoria,  ,Total day,  Total all types,122675,836768.5,6.82,
742,Walthamstow Central ,Total day,  Total all types,29419,417359.72,14.19,
743,Wanstead,  ,Total day,  Total all types,4646,63571.43,13.68,
745,Warren Street ,Total day,  Total all types,35079,249438.16,7.11,
746,Warwick Avenue,Total day,  Total all types,7174,54900.23,7.65,
747,Waterloo,  ,Total day,  Total all types,145113,873120.81,6.02,
748,Watford,,Total day,  Total all types,3230,66107.59,20.47,
751,Wembley Central  ,Total day,  Total all types,6304,72011.61,11.42,
752,Wembley Park,,Total day,  Total all types,23092,290076.97,12.56,
753,West Acton,,Total day,  Total all types,2813,33180,11.8,
755,West Brompton ,Total day,  Total all types,6466,55851.98,8.64,
756,West Finchley ,Total day,  Total all types,2831,40389.86,14.27,
757,West Ham,  ,Total day,  Total all types,13974,98821.21,7.07,
758,West Hampstead,Total day,  Total all types,17712,168347.39,9.5,
759,West Harrow, ,Total day,  Total all types,2233,33434.2,14.97,
760,West Kensington  ,Total day,  Total all types,8015,65192.51,8.13,
762,West Ruislip,,Total day,  Total all types,2402,50355.3,20.96,
754,Westbourne Park  ,Total day,  Total all types,6747,55482.41,8.22,
761,Westminster, ,Total day,  Total all types,41968,291159.28,6.94,
764,White City,,Total day,  Total all types,14495,170773.52,11.78,
763,Whitechapel, ,Total day,  Total all types,39338,302749.19,7.7,
765,Willesden Green  ,Total day,  Total all types,14179,153487.2,10.82,
766,Willesden Junction  ,Total day,  Total all types,11251,96273.59,8.56,
767,Wimbledon, ,Total day,  Total all types,18918,186803.28,9.87,
768,Wimbledon Park,Total day,  Total all types,3228,31247.27,9.68,
770,Wood Green,,Total day,  Total all types,20399,229621.52,11.26,
599,Wood Lane, ,Total day,  Total all types,4792,32586.43,6.8,
769,Woodford,  ,Total day,  Total all types,9174,140741.7,15.34,
771,Woodside Park ,Total day,  Total all types,4836,76303.98,15.78,
500,Acton Town,,AM peak  ,  Total all types,3219,31800.89,9.88,
