 NLC,Station,time period,NR/DLR/Tram,Bus/Coach,Bicycle,Motorcycle,Car/VanParked,Car/Vandrivenaway,Walked,Taxi/Minicab,RiverBus/Ferry,Other,Not Stated,Heathrow Terminal 1,Heathrow Terminal 2,Heathrow Terminal 3,Heathrow Terminal 4,Heathrow Terminal 5,Total all modes,
521,Blackfriars,Evening,262,3,0,0,0,0,3710,49,0,0,122,0,0,0,0,0,4146,
521,Blackfriars,Late,57,24,0,0,0,0,889,34,0,0,25,0,0,0,0,0,1029,
521,Blackfriars,Total day,7324,490,0,0,0,6,17540,585,63,3,1714,0,0,0,0,0,27725,
522,Blackhorse Road,Early ,129,145,0,0,210,26,1068,28,0,0,182,0,0,0,0,0,1786,
522,Blackhorse Road,AM peak,881,724,124,0,384,163,3929,55,0,0,327,0,0,0,0,0,6586,
522,Blackhorse Road,Midday,490,754,1,0,100,72,1406,3,0,0,148,0,0,0,0,0,2975,
522,Blackhorse Road,PM Peak,316,294,8,0,31,34,849,0,0,0,103,0,0,0,0,0,1634,
522,Blackhorse Road,Evening,33,78,0,0,35,39,188,0,0,0,122,0,0,0,0,0,494,
522,Blackhorse Road,Late,3,41,0,0,0,0,28,0,0,0,25,0,0,0,0,0,97,
522,Blackhorse Road,Total day,1851,2035,133,0,759,335,7468,86,0,0,907,0,0,0,0,0,13573,
524,Bond Street,Early ,0,16,0,0,0,0,138,0,0,0,121,0,0,0,0,0,276,
524,Bond Street,AM peak,0,198,0,0,18,2,1294,8,0,1,773,0,0,0,0,0,2294,
524,Bond Street,Midday,0,932,2,0,0,46,11055,19,0,0,4574,0,0,0,0,0,16628,
524,Bond Street,PM Peak,0,751,0,0,0,23,19798,17,0,9,4030,0,0,0,0,0,24628,
524,Bond Street,Evening,0,470,27,0,4,0,10785,9,0,0,1753,0,0,0,0,0,13049,
524,Bond Street,Late,0,112,0,0,0,2,3122,1,0,0,817,0,0,0,0,0,4054,
524,Bond Street,Total day,0,2479,30,0,22,73,46193,55,0,9,12069,0,0,0,0,0,60929,
525,Borough,Early ,0,6,0,0,1,0,132,0,0,0,19,0,0,0,0,0,158,
525,Borough,AM peak,0,120,0,5,16,8,1447,0,0,0,95,0,0,0,0,0,1690,
525,Borough,Midday,0,113,9,0,7,2,2215,0,0,0,293,0,0,0,0,0,2639,
525,Borough,PM Peak,0,57,0,0,0,0,2967,0,0,0,491,0,0,0,0,0,3514,
525,Borough,Evening,0,77,0,0,0,27,1038,10,0,0,11,0,0,0,0,0,1163,
525,Borough,Late,0,8,0,0,0,13,367,0,0,0,1,0,0,0,0,0,389,
525,Borough,Total day,0,381,9,5,23,48,8165,10,0,0,910,0,0,0,0,0,9553,
526,Boston Manor,Early ,0,65,0,0,23,11,143,0,0,0,0,0,0,0,0,0,243,
526,Boston Manor,AM peak,0,206,0,0,298,77,1074,0,0,0,44,0,0,0,0,0,1700,
526,Boston Manor,Midday,0,111,14,0,209,30,423,0,0,0,126,0,0,0,0,0,914,
526,Boston Manor,PM Peak,0,239,0,0,136,142,191,0,0,0,113,0,0,0,0,0,822,
526,Boston Manor,Evening,0,10,0,0,8,64,85,0,0,0,32,0,0,0,0,0,200,
526,Boston Manor,Late,0,17,0,0,1,8,13,0,0,0,0,0,0,0,0,0,39,
526,Boston Manor,Total day,0,649,14,0,675,333,1931,0,0,0,315,0,0,0,0,0,3917,
527,Bounds Green,Early ,0,154,0,0,148,31,823,0,0,0,31,0,0,0,0,0,1187,
527,Bounds Green,AM peak,0,668,11,0,493,148,3251,0,0,0,355,0,0,0,0,0,4926,
527,Bounds Green,Midday,0,289,0,0,141,57,1690,0,0,0,332,0,0,0,0,0,2509,
527,Bounds Green,PM Peak,0,83,0,0,263,43,717,0,0,0,325,0,0,0,0,0,1431,
527,Bounds Green,Evening,0,115,0,0,55,0,139,0,0,0,228,0,0,0,0,0,537,
527,Bounds Green,Late,0,6,0,0,0,0,145,0,0,0,4,0,0,0,0,0,155,
527,Bounds Green,Total day,0,1317,11,0,1099,278,6764,0,0,0,1275,0,0,0,0,0,10744,
528,Bow Road,Early ,17,17,0,0,0,0,483,0,0,0,31,0,0,0,0,0,549,
528,Bow Road,AM peak,71,91,0,0,11,0,3742,0,0,0,271,0,0,0,0,0,4185,
528,Bow Road,Midday,250,4,5,0,5,86,1779,0,0,0,156,0,0,0,0,0,2285,
528,Bow Road,PM Peak,19,0,6,0,15,5,1260,0,0,0,150,0,0,0,0,0,1456,
528,Bow Road,Evening,53,24,0,0,0,0,398,0,0,0,60,0,0,0,0,0,534,
528,Bow Road,Late,8,2,0,0,0,0,164,0,0,0,3,0,0,0,0,0,177,
528,Bow Road,Total day,418,138,10,0,31,92,7825,0,0,0,671,0,0,0,0,0,9186,
529,Brent Cross,Early ,0,0,0,0,59,0,275,0,0,0,0,0,0,0,0,0,334,
529,Brent Cross,AM peak,0,56,0,6,338,50,1066,0,0,1,39,0,0,0,0,0,1556,
529,Brent Cross,Midday,0,39,0,0,319,18,595,0,0,0,98,0,0,0,0,0,1069,
529,Brent Cross,PM Peak,0,77,0,0,81,33,494,0,0,0,28,0,0,0,0,0,713,
529,Brent Cross,Evening,0,16,0,0,7,96,171,0,0,0,24,0,0,0,0,0,313,
529,Brent Cross,Late,0,17,0,0,3,1,56,0,0,0,0,0,0,0,0,0,77,
529,Brent Cross,Total day,0,205,0,6,807,198,2656,0,0,1,189,0,0,0,0,0,4062,
778,Brixton ,Early ,169,1626,25,0,1,26,1327,0,0,0,25,0,0,0,0,0,3199,
778,Brixton ,AM peak,893,12452,98,3,147,348,10478,68,0,0,263,0,0,0,0,0,24751,
778,Brixton ,Midday,190,5080,66,0,15,81,4419,2,0,0,739,0,0,0,0,0,10592,
778,Brixton ,PM Peak,79,2797,5,0,42,137,3946,0,0,0,219,0,0,0,0,0,7225,
778,Brixton ,Evening,64,988,0,0,0,83,1427,0,0,0,542,0,0,0,0,0,3103,
778,Brixton ,Late,118,975,0,0,0,269,1462,8,0,0,782,0,0,0,0,0,3614,
778,Brixton ,Total day,1513,23917,194,3,206,944,23058,78,0,0,2570,0,0,0,0,0,52484,
530,Bromley-by-Bow,Early ,0,114,0,0,40,27,156,0,0,0,7,0,0,0,0,0,343,
530,Bromley-by-Bow,AM peak,0,182,0,0,25,47,1704,0,0,0,286,0,0,0,0,0,2243,
530,Bromley-by-Bow,Midday,0,75,0,0,116,132,945,0,0,0,343,0,0,0,0,0,1610,
530,Bromley-by-Bow,PM Peak,0,332,0,0,0,95,1051,0,0,0,64,0,0,0,0,0,1543,
530,Bromley-by-Bow,Evening,0,148,0,0,0,0,222,0,0,0,83,0,0,0,0,0,453,
530,Bromley-by-Bow,Late,0,17,0,0,0,17,59,0,0,0,41,0,0,0,0,0,134,
530,Bromley-by-Bow,Total day,0,868,0,0,181,318,4137,0,0,0,823,0,0,0,0,0,6327,
531,Buckhurst Hill,Early ,0,21,0,0,71,91,200,0,0,0,7,0,0,0,0,0,391,
531,Buckhurst Hill,AM peak,0,29,0,0,248,194,1426,29,0,0,38,0,0,0,0,0,1965,
531,Buckhurst Hill,Midday,0,3,0,0,79,27,551,0,0,0,10,0,0,0,0,0,671,
531,Buckhurst Hill,PM Peak,0,0,0,0,5,20,318,0,0,0,82,0,0,0,0,0,425,
531,Buckhurst Hill,Evening,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,138,
531,Buckhurst Hill,Late,0,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,37,
531,Buckhurst Hill,Total day,0,54,0,0,404,332,2532,29,0,0,276,0,0,0,0,0,3627,
532,Burnt Oak,Early ,0,465,0,0,142,80,678,0,0,0,113,0,0,0,0,0,1478,
532,Burnt Oak,AM peak,0,748,0,0,460,207,1564,0,0,0,168,0,0,0,0,0,3147,
532,Burnt Oak,Midday,0,377,0,0,132,76,796,0,0,0,124,0,0,0,0,0,1506,
532,Burnt Oak,PM Peak,0,453,0,0,45,2,439,0,0,0,0,0,0,0,0,0,939,
532,Burnt Oak,Evening,0,217,0,0,0,10,76,0,0,0,12,0,0,0,0,0,316,
532,Burnt Oak,Late,0,24,0,0,0,11,18,0,0,0,30,0,0,0,0,0,83,
532,Burnt Oak,Total day,0,2284,0,0,779,386,3572,0,0,0,447,0,0,0,0,0,7468,
534,Caledonian Road,Early ,0,67,0,0,0,0,184,0,0,0,33,0,0,0,0,0,285,
534,Caledonian Road,AM peak,0,340,21,0,16,10,2201,0,0,0,311,0,0,0,0,0,2900,
534,Caledonian Road,Midday,0,428,0,0,85,68,1883,0,0,0,174,0,0,0,0,0,2638,
534,Caledonian Road,PM Peak,0,176,0,0,11,11,1955,0,0,0,182,0,0,0,0,0,2335,
534,Caledonian Road,Evening,0,98,117,0,0,0,495,0,0,0,74,0,0,0,0,0,784,
534,Caledonian Road,Late,0,33,23,0,0,0,257,0,0,0,1,0,0,0,0,0,314,
534,Caledonian Road,Total day,0,1143,161,0,112,89,6975,0,0,0,775,0,0,0,0,0,9255,
535,Camden Town,Early ,31,35,0,0,0,0,243,0,0,0,83,0,0,0,0,0,392,
535,Camden Town,AM peak,295,374,0,0,50,22,2364,0,0,0,414,0,0,0,0,0,3520,
535,Camden Town,Midday,512,1385,37,0,15,7,4771,0,0,0,2340,0,0,0,0,0,9067,
535,Camden Town,PM Peak,379,574,58,0,13,2,6905,30,0,0,2147,0,0,0,0,0,10109,
