 RODS report2b created at 13:27:32 on 29-03-2017,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,
,,,,,,
 Report 2b - Analysis of distance by ticket type and exit station,,,,,,
 NLC,Station name,Time period,Ticket Type,Total passengers,Total passenger kilometres,Average journey length (kms)
509,Arnos Grove         ,PM Peak     ,Periods             ,764,11990.95,15.7
509,Arnos Grove         ,PM Peak     ,All Permits         ,188,2005.8,10.68
509,Arnos Grove         ,PM Peak     ,Not Stated/Other    ,83,1439.26,17.39
509,Arnos Grove         ,PM Peak     ,     Total all types,2420,32394.28,13.39
509,Arnos Grove         ,Evening     ,Daily (inc T/Card)  ,710,10835.46,15.26
509,Arnos Grove         ,Evening     ,Weekly              ,264,3500.25,13.24
509,Arnos Grove         ,Evening     ,Periods             ,385,6751.54,17.56
509,Arnos Grove         ,Evening     ,All Permits         ,119,1543.69,13.01
509,Arnos Grove         ,Evening     ,Not Stated/Other    ,3,92.51,33.17
509,Arnos Grove         ,Evening     ,     Total all types,1480,22723.45,15.35
509,Arnos Grove         ,Late        ,Daily (inc T/Card)  ,217,3530.44,16.31
509,Arnos Grove         ,Late        ,Weekly              ,25,399.84,16.04
509,Arnos Grove         ,Late        ,Periods             ,333,5412.16,16.27
509,Arnos Grove         ,Late        ,All Permits         ,25,371.41,14.62
509,Arnos Grove         ,Late        ,Not Stated/Other    ,284,4551.57,16.01
509,Arnos Grove         ,Late        ,     Total all types,884,14265.42,16.14
509,Arnos Grove         ,   Total day,Daily (inc T/Card)  ,2575,33693.89,13.08
509,Arnos Grove         ,   Total day,Weekly              ,1066,12418.56,11.65
509,Arnos Grove         ,   Total day,Periods             ,2151,30120.69,14
509,Arnos Grove         ,   Total day,All Permits         ,688,7187.22,10.44
509,Arnos Grove         ,   Total day,Not Stated/Other    ,688,9954.24,14.47
509,Arnos Grove         ,   Total day,     Total all types,7168,93374.6,13.03
510,Arsenal             ,Early       ,Not Stated/Other    ,24,114.48,4.68
510,Arsenal             ,Early       ,     Total all types,24,114.48,4.68
510,Arsenal             ,AM peak     ,Daily (inc T/Card)  ,221,1545.46,7
510,Arsenal             ,AM peak     ,Weekly              ,45,313.41,6.99
510,Arsenal             ,AM peak     ,Periods             ,153,1090.26,7.11
510,Arsenal             ,AM peak     ,All Permits         ,7,28.68,3.84
510,Arsenal             ,AM peak     ,Not Stated/Other    ,18,172.98,9.49
510,Arsenal             ,AM peak     ,     Total all types,445,3150.79,7.08
510,Arsenal             ,Midday      ,Daily (inc T/Card)  ,456,3017.23,6.62
510,Arsenal             ,Midday      ,Weekly              ,244,1230.79,5.05
510,Arsenal             ,Midday      ,Periods             ,99,622.52,6.26
510,Arsenal             ,Midday      ,All Permits         ,25,370.07,15.05
510,Arsenal             ,Midday      ,Not Stated/Other    ,209,800.99,3.83
510,Arsenal             ,Midday      ,     Total all types,1033,6041.6,5.85
510,Arsenal             ,PM Peak     ,Daily (inc T/Card)  ,636,4455.29,7.01
510,Arsenal             ,PM Peak     ,Weekly              ,167,1188.5,7.13
510,Arsenal             ,PM Peak     ,Periods             ,308,2398.68,7.8
510,Arsenal             ,PM Peak     ,All Permits         ,77,1211.99,15.83
510,Arsenal             ,PM Peak     ,Not Stated/Other    ,151,1174.09,7.78
510,Arsenal             ,PM Peak     ,     Total all types,1337,10428.55,7.8
510,Arsenal             ,Evening     ,Daily (inc T/Card)  ,407,2931.8,7.21
510,Arsenal             ,Evening     ,Weekly              ,124,934.63,7.52
510,Arsenal             ,Evening     ,Periods             ,363,2645.5,7.28
510,Arsenal             ,Evening     ,All Permits         ,51,482.53,9.43
510,Arsenal             ,Evening     ,Not Stated/Other    ,140,711.09,5.09
510,Arsenal             ,Evening     ,     Total all types,1085,7705.55,7.1
510,Arsenal             ,Late        ,Daily (inc T/Card)  ,221,1789.97,8.1
510,Arsenal             ,Late        ,Weekly              ,73,438.75,6.05
510,Arsenal             ,Late        ,Periods             ,181,1069.72,5.91
510,Arsenal             ,Late        ,All Permits         ,39,398.49,10.09
510,Arsenal             ,Late        ,Not Stated/Other    ,44,428.82,9.71
510,Arsenal             ,Late        ,     Total all types,558,4125.75,7.39
510,Arsenal             ,   Total day,Daily (inc T/Card)  ,1940,13739.75,7.08
510,Arsenal             ,   Total day,Weekly              ,652,4106.08,6.3
510,Arsenal             ,   Total day,Periods             ,1105,7826.68,7.08
510,Arsenal             ,   Total day,All Permits         ,199,2491.76,12.5
510,Arsenal             ,   Total day,Not Stated/Other    ,587,3402.45,5.8
510,Arsenal             ,   Total day,     Total all types,4483,31566.72,7.04
511,Baker Street        ,Early       ,Weekly              ,1,3.68,7.02
511,Baker Street        ,Early       ,Not Stated/Other    ,1018,11162.86,10.96
511,Baker Street        ,Early       ,     Total all types,1019,11167.45,10.96
511,Baker Street        ,AM peak     ,Daily (inc T/Card)  ,5825,48775.54,8.37
