 RODS report1b created at 13:27:06 on 29-03-2017,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,
 ,,,,,,,,
 Report 1b - Analysis by ticket type and station,,,,,,,,
 NLC,Station name,Time period,Daily (inc T/Card)  ,Weekly              ,Periods             ,All Permits         ,Not Stated /Other    ,Total all types
884,Canning Town        ,PM Peak     ,4279,2718,1667,518,909,10092
884,Canning Town        ,Evening     ,2402,1271,1210,407,463,5753
884,Canning Town        ,Late        ,440,560,724,83,641,2449
884,Canning Town        ,   Total day,14071,12705,9412,1911,7880,45979
536,Cannon Street       ,Early       ,0,0,0,0,439,439
536,Cannon Street       ,AM peak     ,939,1316,2167,79,55,4555
536,Cannon Street       ,Midday      ,1102,565,1070,203,135,3075
536,Cannon Street       ,PM Peak     ,1588,980,1863,81,68,4580
536,Cannon Street       ,Evening     ,560,335,701,12,10,1618
536,Cannon Street       ,Late        ,0,0,0,0,0,0
536,Cannon Street       ,   Total day,4189,3196,5800,374,708,14267
537,Canons Park         ,Early       ,5,0,7,1,587,599
537,Canons Park         ,AM peak     ,857,379,808,92,211,2347
537,Canons Park         ,Midday      ,396,3,101,205,200,904
537,Canons Park         ,PM Peak     ,246,109,73,25,231,685
537,Canons Park         ,Evening     ,39,0,2,18,153,212
537,Canons Park         ,Late        ,0,0,0,0,53,53
537,Canons Park         ,   Total day,1544,492,990,340,1434,4800
539,Chalfont & Latimer  ,Early       ,12,0,7,0,265,285
539,Chalfont & Latimer  ,AM peak     ,636,81,226,14,16,973
539,Chalfont & Latimer  ,Midday      ,445,60,26,21,9,560
539,Chalfont & Latimer  ,PM Peak     ,291,28,33,1,39,392
539,Chalfont & Latimer  ,Evening     ,22,13,10,2,7,54
539,Chalfont & Latimer  ,Late        ,0,0,0,0,27,27
539,Chalfont & Latimer  ,   Total day,1406,182,302,38,363,2292
540,Chalk Farm          ,Early       ,0,0,0,0,223,223
540,Chalk Farm          ,AM peak     ,1151,497,439,45,413,2546
540,Chalk Farm          ,Midday      ,1271,190,149,532,37,2178
540,Chalk Farm          ,PM Peak     ,1002,336,497,266,0,2102
540,Chalk Farm          ,Evening     ,405,214,170,95,47,931
540,Chalk Farm          ,Late        ,315,63,266,0,48,691
540,Chalk Farm          ,   Total day,4144,1300,1521,938,768,8671
541,Chancery Lane       ,Early       ,1,1,1,0,149,153
