 Purpose,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200
zone 1,Other : Work                            ,18064,0,0,0,2,0,0,0,1,80,148,343,157,458,712,890,713,722,663,775,678,328,276,391,390,283,283,237,233,360,418,541,356,298,387,491,715,491,543,276,249,220,231,222,399,300,205,231,137,175,221,99,164,182,186,37,220,83,42,7,89,96,87,55,12,79,59,138,11,51,51,29,0,41,0,4,12,0,0,0,0,0,0,0,0
zone 1,Other : Shop                            ,8972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,35,74,13,166,117,63,305,42,236,201,348,167,35,349,275,233,181,149,212,354,484,106,153,830,101,487,359,216,359,307,797,162,43,168,143,131,0,137,20,8,20,28,8,0,40,91,44,62,8,5,0,0,0,0,0,0,0,19,35,0,0,0,0,0,0,0,0
zone 1,Other : Education                       ,4377,0,0,0,0,0,0,0,0,0,0,48,77,3,6,43,94,22,1,102,67,41,78,33,153,34,8,55,126,99,91,96,100,243,60,78,119,82,98,251,145,108,31,26,17,153,74,69,91,383,432,45,21,21,93,96,50,46,0,0,0,2,51,0,87,0,4,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0
zone 1,Other : Tourist                         ,4478,0,0,0,0,0,0,0,0,0,4,3,5,0,0,23,3,3,49,41,163,203,77,148,14,204,58,45,177,173,91,97,3,259,148,37,53,77,401,102,604,63,179,311,140,140,106,0,16,0,171,47,0,0,0,15,13,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Other : Hotel                           ,19151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,33,6,114,0,43,80,1,39,0,0,265,184,69,236,179,187,269,378,315,371,450,480,553,525,477,155,554,841,624,581,198,562,307,266,1108,272,829,335,85,275,178,174,58,88,394,237,553,375,277,403,644,617,667,724,517,223,314,323,66,32,1,0,0,0,0,0,0
zone 1,Other : Other                           ,59976,0,0,0,0,0,0,1,2,200,250,67,45,25,179,184,225,166,424,329,685,575,874,901,1215,955,1109,1332,654,881,1273,1433,1186,812,1281,1480,966,1423,1700,1344,1683,1301,1391,920,1299,1254,1673,1457,1779,1933,1766,2507,1488,2033,1216,1504,1379,1142,462,678,531,541,593,615,519,653,349,430,391,355,612,393,200,327,121,174,127,3,0,0,0,0,0,0,0
zone 1,Other : Unknown/Not Given               ,3524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,56,0,116,33,44,12,109,52,44,17,142,34,114,47,21,42,18,0,96,20,30,217,19,17,93,70,283,0,41,0,59,364,91,95,38,190,175,0,17,1,34,46,0,96,23,25,47,23,16,0,94,19,70,12,25,117,34,1,0,0,0,0,0,0,0,0,0,0
zone 1,Unknown/Not Given : Home                ,15970,0,0,0,0,0,0,0,0,2,110,13,139,438,15,114,78,134,105,9,34,153,22,83,0,124,25,81,180,279,87,125,196,108,119,219,54,66,198,273,140,531,26,354,123,544,647,350,840,784,646,680,811,564,1191,699,239,100,194,178,416,456,89,196,307,77,177,24,233,251,284,55,16,8,43,7,108,0,0,0,0,0,0,0,0
zone 1,Unknown/Not Given : Work                ,3369,0,0,0,0,0,0,0,0,95,53,44,147,165,132,318,313,197,156,84,154,28,63,49,43,33,86,39,24,18,24,5,0,39,75,64,43,14,45,37,1,28,26,172,77,1,1,7,0,0,118,11,0,83,50,4,0,4,32,38,0,0,9,0,15,0,0,0,0,0,18,0,0,0,0,0,83,0,0,0,0,0,0,0,0
zone 1,Unknown/Not Given : Shop                ,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,69,0,48,85,6,39,39,52,0,0,0,9,21,0,9,5,2,19,0,4,0,0,143,0,0,0,0,1,182,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Unknown/Not Given : Education           ,468,0,0,0,0,0,0,0,0,3,0,2,1,0,1,0,0,26,33,1,21,16,0,0,0,0,0,0,0,0,6,0,15,82,21,25,0,0,1,6,38,14,0,0,132,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Unknown/Not Given : Tourist             ,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,36,0,1,37,0,0,0,0,0,0,0,63,32,0,0,0,0,15,9,0,0,0,0,0,20,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
