 RODS report1a created at 13:27:01 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
,,,,,,,,,,,
 Report 1a - Analysis by origin purpose for Heathrow Terminals 123,,,,,,,,,,,
,Total,Passenger  ,Work       ,Meeting    ,Crew       ,Business   ,Seeing off ,Hotel      ,Sightseeing,Other      ,Not stated
Early       ,Crew       ,0,0,0,0,0,0,0,0,0,
Early       ,Business   ,0,0,0,0,0,0,0,0,0,
Early       ,Seeing off ,0,0,0,0,0,0,0,0,0,
Early       ,Hotel      ,0,0,0,0,0,0,0,0,0,
Early       ,Sightseeing,0,0,0,0,0,0,0,0,0,
Early       ,Other      ,0,15,0,0,0,0,0,0,15,
Early       ,Not stated ,0,0,0,0,0,0,0,256,256,
AM peak     ,Passenger  ,154,189,20,0,0,7,0,0,370,
AM peak     ,Work       ,10,40,0,0,0,0,0,0,50,
AM peak     ,Meeting    ,79,64,0,0,0,0,0,0,143,
AM peak     ,Crew       ,55,0,0,0,0,0,0,0,55,
AM peak     ,Business   ,0,0,0,0,0,0,0,0,0,
AM peak     ,Seeing off ,16,0,0,0,0,0,0,0,16,
AM peak     ,Hotel      ,0,48,66,0,27,0,0,0,140,
AM peak     ,Sightseeing,0,0,0,0,0,0,0,0,0,
AM peak     ,Other      ,15,90,0,29,0,0,69,0,203,
AM peak     ,Not stated ,0,0,0,0,0,0,0,0,0,
Midday      ,Passenger  ,372,23,0,0,0,150,62,0,607,
Midday      ,Work       ,249,16,0,0,0,0,0,0,265,
Midday      ,Meeting    ,38,74,0,0,0,0,16,0,128,
Midday      ,Crew       ,0,0,0,0,0,0,0,0,0,
Midday      ,Business   ,23,3,0,0,0,0,0,0,26,
Midday      ,Seeing off ,246,17,0,24,0,0,0,0,287,
Midday      ,Hotel      ,0,0,0,0,0,0,0,0,0,
Midday      ,Sightseeing,297,0,0,0,0,0,0,0,297,
Midday      ,Other      ,0,72,0,103,0,0,121,126,422,
Midday      ,Not stated ,0,0,0,0,0,0,51,280,330,
PM Peak     ,Passenger  ,868,8,0,0,0,0,2,0,879,
PM Peak     ,Work       ,125,0,0,0,0,0,27,0,152,
PM Peak     ,Meeting    ,43,0,0,0,0,0,0,0,43,
PM Peak     ,Crew       ,113,0,0,0,0,0,0,0,113,
PM Peak     ,Business   ,17,0,0,0,0,0,0,0,17,
PM Peak     ,Seeing off ,46,0,0,0,0,0,0,0,46,
PM Peak     ,Hotel      ,0,0,0,0,0,0,0,0,0,
PM Peak     ,Sightseeing,0,0,0,0,0,0,0,0,0,
PM Peak     ,Other      ,0,0,0,0,0,0,0,0,0,
PM Peak     ,Not stated ,0,0,0,0,0,0,0,94,94,
Evening     ,Passenger  ,383,0,0,0,0,0,64,0,446,
Evening     ,Work       ,404,0,0,0,0,0,0,0,404,
Evening     ,Meeting    ,0,0,0,0,0,0,0,0,0,
Evening     ,Crew       ,0,0,0,0,0,0,0,0,0,
Evening     ,Business   ,0,11,0,0,0,0,0,0,11,
Evening     ,Seeing off ,72,0,0,0,0,0,0,0,72,
Evening     ,Hotel      ,0,0,0,0,0,0,0,0,0,
Evening     ,Sightseeing,0,0,0,0,0,0,0,0,0,
Evening     ,Other      ,0,10,0,0,0,0,0,0,10,
Evening     ,Not stated ,0,0,0,0,0,0,0,159,159,
Late        ,Passenger  ,0,0,0,0,0,0,0,0,0,
Late        ,Work       ,1,0,0,0,0,0,0,0,1,
Late        ,Meeting    ,0,0,0,0,0,0,0,0,0,
Late        ,Crew       ,0,0,0,0,0,0,0,0,0,
Late        ,Business   ,0,0,0,0,0,0,0,0,0,
Late        ,Seeing off ,0,0,0,0,0,0,0,0,0,
