 RODS report1a created at 13:27:01 on 29-03-2017,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,
 ,,,,,,,,
 Report 1a - Analysis by journey purpose and ticket type,,,,,,,,
,Time period,Origin Journey Purpose :                 Destination Journey Purpose,Total all types,Daily (inc T/Card)  ,Weekly              ,Periods             ,All Permits         ,Not Stated /Other    
zone 1,Evening     ,Tourist : Other                         ,61,45,14,0,1,0
zone 1,Evening     ,Tourist : Unknown/Not Given             ,6,0,0,0,6,0
zone 1,Evening     ,Hotel : Home                            ,994,558,2,274,77,82
zone 1,Evening     ,Hotel : Work                            ,43,43,0,0,0,0
zone 1,Evening     ,Hotel : Shop                            ,91,56,35,0,0,0
zone 1,Evening     ,Hotel : Tourist                         ,72,67,0,0,0,6
zone 1,Evening     ,Hotel : Hotel                           ,431,413,0,18,0,0
zone 1,Evening     ,Hotel : Other                           ,1570,942,588,38,2,0
zone 1,Evening     ,Hotel : Unknown/Not Given               ,29,29,0,0,0,0
zone 1,Evening     ,Other : Home                            ,67622,31170,12058,19301,4013,1080
zone 1,Evening     ,Other : Work                            ,759,501,209,42,0,6
zone 1,Evening     ,Other : Shop                            ,314,212,14,28,16,44
zone 1,Evening     ,Other : Education                       ,190,116,0,1,73,0
zone 1,Evening     ,Other : Tourist                         ,12,12,0,0,0,0
zone 1,Evening     ,Other : Hotel                           ,3655,2794,713,104,45,0
zone 1,Evening     ,Other : Other                           ,6904,3610,1185,1234,294,581
zone 1,Evening     ,Other : Unknown/Not Given               ,422,214,22,14,14,159
zone 1,Evening     ,Unknown/Not Given : Home                ,2446,934,461,838,144,69
zone 1,Evening     ,Unknown/Not Given : Work                ,98,6,73,19,0,0
zone 1,Evening     ,Unknown/Not Given : Education           ,23,0,9,14,0,0
zone 1,Evening     ,Unknown/Not Given : Tourist             ,77,77,0,0,0,0
zone 1,Evening     ,Unknown/Not Given : Hotel               ,324,305,19,0,0,0
zone 1,Evening     ,Unknown/Not Given : Other               ,338,203,102,0,32,1
zone 1,Evening     ,Unknown/Not Given : Unknown/Not Given   ,29607,166,0,0,7,29435
zone 1,Late        ,Home : Home                             ,259,128,68,47,16,0
zone 1,Late        ,Home : Work                             ,2037,662,319,953,59,44
zone 1,Late        ,Home : Shop                             ,5,5,0,0,0,0
zone 1,Late        ,Home : Education                        ,135,91,21,23,0,0
zone 1,Late        ,Home : Hotel                            ,130,130,0,0,0,0
zone 1,Late        ,Home : Other                            ,1263,790,94,299,62,19
zone 1,Late        ,Home : Unknown/Not Given                ,621,331,82,165,1,43
zone 1,Late        ,Work : Home                             ,31946,11838,9141,9915,679,373
zone 1,Late        ,Work : Work                             ,777,242,442,55,21,18
zone 1,Late        ,Work : Education                        ,0,0,0,0,0,0
zone 1,Late        ,Work : Hotel                            ,357,289,30,39,0,0
zone 1,Late        ,Work : Other                            ,618,264,250,61,16,26
zone 1,Late        ,Work : Unknown/Not Given                ,230,27,12,130,0,61
zone 1,Late        ,Shop : Home                             ,523,264,101,150,8,0
zone 1,Late        ,Shop : Work                             ,0,0,0,0,0,0
zone 1,Late        ,Shop : Shop                             ,0,0,0,0,0,0
