NLC,Station name,Time period,all modes,Work,Home,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given   ,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given
517,Bayswater     ,Early ,148,2,0,2,0,0,0,0,0,0,146,0,2,0,0,0,0,0,146
517,Bayswater     ,AM peak     ,1636,689,10,1052,33,0,27,0,462,62,0,10,936,1,158,81,0,448,1
517,Bayswater     ,Midday,2454,226,38,715,102,99,90,13,788,575,72,256,455,215,159,405,41,830,94
517,Bayswater     ,PM Peak     ,1454,57,452,335,644,49,24,69,141,178,13,690,164,46,166,0,10,352,26
517,Bayswater     ,Evening     ,823,11,153,162,220,34,17,0,33,340,17,475,44,28,28,0,1,236,11
517,Bayswater     ,Late  ,478,0,155,0,155,0,0,0,0,117,205,272,0,0,0,0,0,0,205
517,Bayswater     ,   Total day,6993,985,809,2265,1154,181,159,83,1424,1272,454,1703,1600,291,512,486,52,1866,482
518,Becontree     ,Early ,1246,0,0,0,0,0,0,0,0,0,1246,0,0,0,0,0,0,0,1246
518,Becontree     ,AM peak     ,2372,1916,0,2054,0,0,0,0,0,9,309,18,1925,65,19,0,0,9,337
518,Becontree     ,Midday,1269,286,0,865,98,0,0,0,0,58,248,5,286,170,91,0,0,396,321
518,Becontree     ,PM Peak     ,655,81,75,92,187,0,0,0,0,237,139,300,81,0,0,0,0,24,250
518,Becontree     ,Evening     ,237,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,237
518,Becontree     ,Late  ,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,55
518,Becontree     ,   Total day,5834,2282,75,3010,285,0,0,0,0,305,2234,323,2292,235,109,0,0,428,2447
519,Belsize Park  ,Early ,231,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,231
519,Belsize Park  ,AM peak     ,3194,1923,12,2559,40,0,89,0,337,125,45,249,2144,48,148,84,28,419,73
519,Belsize Park  ,Midday,3120,317,429,934,1153,0,157,25,61,755,34,1253,785,197,216,86,116,386,82
519,Belsize Park  ,PM Peak     ,3062,166,717,787,940,0,179,0,398,616,142,1537,190,0,49,0,332,871,82
519,Belsize Park  ,Evening     ,966,51,501,106,534,0,0,0,64,159,102,712,51,7,0,0,5,90,100
519,Belsize Park  ,Late  ,296,0,0,0,0,0,0,0,0,1,295,1,0,0,0,0,0,0,295
519,Belsize Park  ,   Total day,10868,2458,1660,4386,2667,0,426,25,860,1656,849,3753,3170,251,414,170,481,1766,863
787,Bermondsey    ,Early ,866,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,0,0,866
787,Bermondsey    ,AM peak     ,5881,4934,69,5433,213,0,60,0,82,68,25,97,5145,136,139,0,17,197,151
787,Bermondsey    ,Midday,3956,815,456,2574,755,2,185,0,37,286,117,790,1114,466,286,10,52,1091,147
787,Bermondsey    ,PM Peak     ,4361,320,2015,1031,2214,0,259,0,115,400,341,2794,376,100,166,21,16,584,302
787,Bermondsey    ,Evening     ,1686,106,436,345,437,0,49,0,53,375,428,808,120,0,127,0,55,126,450
787,Bermondsey    ,Late  ,579,11,116,48,116,0,0,0,0,186,229,263,11,0,0,0,9,67,229
787,Bermondsey    ,   Total day,17329,6186,3093,9431,3736,2,552,0,287,1315,2007,4752,6766,702,718,31,149,2065,2146
520,Bethnal Green ,Early ,839,74,0,74,0,0,0,0,0,0,765,0,74,0,0,0,0,0,765
520,Bethnal Green ,AM peak     ,6899,4678,50,5377,174,0,18,0,493,52,784,166,5282,127,243,52,66,206,757
520,Bethnal Green ,Midday,6628,826,401,1991,529,2,0,273,107,147,3579,854,1027,277,332,64,10,453,3612
520,Bethnal Green ,PM Peak     ,5383,32,349,232,425,0,60,0,76,46,4544,423,91,58,0,0,0,267,4544
520,Bethnal Green ,Evening     ,2355,267,238,441,297,0,0,2,10,230,1374,431,305,11,0,0,0,233,1374
520,Bethnal Green ,Late  ,1082,0,61,0,111,0,0,0,14,370,588,428,0,0,0,0,50,17,588
520,Bethnal Green ,   Total day,23186,5878,1099,8115,1536,2,78,275,700,845,11634,2302,6779,473,574,115,126,1176,11640
521,Blackfriars   ,Early ,313,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,313
